IHP Amount for Owners,Owners Approved,Owners <$10k,Owners $10-25k,Owners $25k - Max,Owners Max,IHP Amount for Renters,Renters Approved,Renters $25k - Max,Renters Max,incidentType,fyDeclared
1035300,389.0,378.0,10.0,1.0,0.0,49524,21.0,0.0,0.0,Flood,2013.0
369305,169.0,165.0,4.0,0.0,0.0,46893,17.0,0.0,0.0,Flood,2013.0
1844081,786.0,752.0,29.0,5.0,1.0,654114,419.0,0.0,0.0,Flood,2013.0
34081,6.0,4.0,2.0,0.0,0.0,1056,1.0,0.0,0.0,Flood,2013.0
94010,37.0,36.0,1.0,0.0,0.0,0,0.0,0.0,0.0,Flood,2013.0
608295,191.0,177.0,13.0,1.0,0.0,72438,28.0,0.0,0.0,Flood,2013.0
44872,20.0,20.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Flood,2013.0
620483,193.0,182.0,11.0,0.0,0.0,34983,8.0,0.0,0.0,Flood,2013.0
261895,61.0,55.0,2.0,4.0,4.0,8722,5.0,0.0,0.0,Flood,2013.0
98087,51.0,49.0,2.0,0.0,0.0,0,0.0,0.0,0.0,Flood,2013.0
