disasterNumber,hmgpCloseoutStatus,hmgpReconciliationDate,lockedInCeilingAmount,obligatedTotalAmount,obligatedInitiativeAmount,obligatedPlanningAmount,obligatedRegularAmount,obligatedSMCAmount,obligatedGranteeAdmin,obligatedSubgranteeAdmin,hash,lastRefresh
4180,Open,,3698486,3514508,0,0,3514508,0,0,0,e20ae201f18613322e1155606044256c,2019-10-10T19:40:45.291Z
1199,Closed,2000-03-29T05:00:00.000Z,1584709,1663277,79235,0,1371060,134412,28837,49733,3b60892852adce78171068d4a439194c,2019-10-10T19:40:45.055Z
4189,Closed,2019-04-18T04:00:00.000Z,808696,495075.63,0,0,456043,39032.63,0,0,837566ebf6dc3105f31b3013ed9e28c5,2019-10-10T19:40:45.077Z
4107,Open,,1070561,872126.62,42750,4241.7,772784.92,52350,0,0,af381b817a4434aa45fb547728f6b918,2019-10-10T19:40:44.948Z
4324,Open,,653546,685095.75,32675.25,32812.5,587650,31958,0,0,288ab5e188adff6ae3f01ec38e28c567,2019-10-10T19:40:44.979Z
1823,Closed,2018-08-31T04:00:00.000Z,1404945,964338,4650,60392,880554,18742,0,0,08d8d28bfa46985430159b5c4895bbf0,2019-10-10T19:40:45.054Z
4187,Closed,2019-01-29T05:00:00.000Z,2961986,2478462,0,207339,2126282,144841,0,0,dc2d35359e94e76a74e171a04a223d5a,2019-10-10T19:40:44.919Z
4154,Closed,2018-06-06T04:00:00.000Z,925434,540895,41450,61650,393322,44473,0,0,cb1e019a4b7ba36f616662c6a7f07617,2019-10-10T19:40:44.965Z
4279,Open,,1044224,1092164,0,0,1041101,51063,0,0,c984fd2cc9c717e312ded5e4f0e71d54,2019-10-10T19:40:44.964Z
4106,Open,,4612581,3225933.75,0,0,3000378.75,225555,0,0,aa597e6973a9e0a5d62f58155d281b91,2019-10-10T19:40:45.044Z
1839,Closed,2015-07-23T04:00:00.000Z,700839,703135,0,31219,637645,34271,0,0,a272e5f2d2f47b299a39685d9ce4b753,2019-10-10T19:40:45.071Z
1993,Open,,5264029,4693006,0,0,4435595,257411,0,0,f242334d2923b7047545b3f4605d3a75,2019-10-10T19:40:45.074Z
4153,Closed,2019-01-30T05:00:00.000Z,1000452,428209.48,16523.97,63000,312362.93,36322.58,0,0,5bc29eebafccf48d7cf0309e1555c36c,2019-10-10T19:40:45.067Z
4310,Open,,1065982,429164,0,0,377037,52127,0,0,cbbeb2605cf7d98109a8722304898ea2,2019-10-10T19:40:44.966Z
1685,Closed,2008-10-21T04:00:00.000Z,178320,0,0,0,0,0,0,0,869569bb8679a1c8e7ed9b73fd8acb13,2019-10-10T19:40:44.679Z
1837,Closed,2016-08-27T04:00:00.000Z,408559,195097,28945,0,149733,16419,0,0,f5115de2aabd1b3b56dd7384ee8ebab3,2019-10-10T19:40:44.992Z
1564,Closed,2010-11-02T04:00:00.000Z,964410,825556,0,18769,747539,43053,463,15732,333cd47a23ea710805b3bd33a30fa562,2019-10-10T19:40:44.960Z
1479,Closed,2015-02-11T05:00:00.000Z,2644965,1577925,134273,90000,1282724,3936,25426,41566,11eb3cd58be501f032389a0d29e1ca67,2019-10-10T19:40:44.957Z
1622,Closed,2011-05-17T04:00:00.000Z,624188,643609,0,43500,580688,0,60,19361,c492a1ef9c579abaa430de96d967d24f,2019-10-10T19:40:45.037Z
4314,Open,,2295632,436742,0,0,324486,112256,0,0,7de69ac53d8e5fd1eb972f71a925a245,2019-12-14T20:31:37.565Z
4337,Open,,565089857,152060302.98,0,7091666.25,141968636.73,3000000,0,0,3c3a66b76607bae22fdd46c213c1fd58,2019-12-21T20:32:03.929Z
4064,Closed,2019-06-05T04:00:00.000Z,437673,387910.63,9356.130000000001,30637,339791.5,8126,0,0,59fd17c86155ab06a337d5bde6d3c5a2,2019-10-10T19:40:44.948Z
1232,Closed,2004-04-09T04:00:00.000Z,297588,315378,13029,0,284559,0,7164,10626,0c7a9f965e84dd18cba6fe2e08c8fa88,2019-10-10T19:40:44.701Z
1465,Closed,2010-11-22T05:00:00.000Z,803715,793525,0,0,642548,122788,14214,13975,8306499c8cccedfb2c40d23efb067b71,2019-10-10T19:40:44.985Z
1597,Closed,2012-08-02T04:00:00.000Z,1059511,1091759,0,14517,1024241,10351,10452,32198,9d44758495584aeff7bc775c88292848,2019-10-10T19:40:44.711Z
4171,Open,,1122753,862159,0,41255,766001,54903,0,0,1233d57f65d156133996ad9897063e31,2019-10-10T19:40:44.975Z
1529,Closed,2013-06-18T04:00:00.000Z,2094179,895918,0,138713,654440,62938,17313,22514,23080431aa7dceb5c2501d1b1549562f,2019-10-10T19:40:44.596Z
4313,Open,,1616908,79067,0,0,0,79067,0,0,7ec5222adef7b9959f91cbfe9bbd0b45,2019-10-10T19:40:44.959Z
840,Closed,1997-03-07T05:00:00.000Z,178228,147735,0,0,135715,0,3877,8143,2661e185743ee2eabda6d8578e91da10,2019-10-10T19:40:45.025Z
4272,Open,,13018385,7839673.25,552619.5,899025,5751429.75,636599,0,0,ec78313fd264dd7422700f2027bd3b8e,2019-10-10T19:40:44.943Z
4215,Open,,2201422,1904416,33809,132373.5,1630583.5,107650,0,0,01dee0aa128c3d3b8cfa1b48822517c0,2019-12-06T20:47:20.667Z
1077,Closed,2002-05-16T04:00:00.000Z,311787,330687,258836,0,52951,0,7464,11436,c94c8c0a44c3cabf43e9fffaf8548168,2019-10-10T19:40:44.719Z
4042,Open,,7221102,6429519.8,315700,497800,5262907.8,353112,0,0,1032c9be486560859460e336bdc9eba6,2019-11-22T20:47:29.845Z
4366,Open,,19914245,241799,0,0,225000,16799,0,0,51c6645965f2310b49f6082729039c37,2019-10-10T19:40:44.576Z
4183,Closed,2018-04-11T04:00:00.000Z,2092896,1444086,183664,0,1239251,21171,0,0,011ba9f01eb3d679ad36554a36e34148,2019-10-10T19:40:44.964Z
1849,Closed,2014-12-17T05:00:00.000Z,1727860,1455392,0,0,1429636,25756,0,0,3755da84677dae87bf27e0b365b14044,2019-10-10T19:40:45.034Z
4144,Closed,2017-09-20T04:00:00.000Z,3788878,3828574,0,118948,3669930,39696,0,0,a3c2a68108ca4db4957fef723b3457f8,2019-10-10T19:40:44.597Z
1527,Closed,2010-08-08T04:00:00.000Z,3125321,1153207,149565,0,937711,49359,6719,9853,07d4f23b657ad2ed6b896a4dd8ba44eb,2019-10-10T19:40:44.594Z
1939,Closed,2015-12-18T05:00:00.000Z,349425,182310,0,0,165439,16871,0,0,d434ed5b74481e25dbd551933df9fc04,2019-10-10T19:40:45.027Z
1608,Closed,2012-03-08T05:00:00.000Z,1082577,341998,20738,0,277230,35709,757,7564,30580790c5036d213a329603a97229ab,2019-10-10T19:40:44.982Z
4275,Open,,141413,134085,6913,0,120257,6915,0,0,22d675b22cd45c476037368ead3a01b7,2019-10-10T19:40:45.070Z
1470,Closed,2004-06-24T04:00:00.000Z,55960,0,0,0,0,0,0,0,580b6f16b2897e12030f2b758ea17800,2019-10-10T19:40:44.949Z
4329,Open,,1174453,159773,53250,40500,8592,57431,0,0,7a0f895e752e52e369404012134dfe2a,2019-10-10T19:40:44.971Z
1628,Closed,2019-01-31T05:00:00.000Z,10557074,5236367.56,519452,418867,3375596,711904.56,58156,152392,a00db7e65ea94abd7e4e0e628f3c3bf5,2019-10-10T19:40:44.987Z
910,Closed,2004-01-22T05:00:00.000Z,431401,334274,0,0,303089,0,10051,21134,907a3f5c2597791882c20786fa165fbf,2019-10-10T19:40:44.712Z
1903,Closed,2015-11-24T05:00:00.000Z,624038,372956,7657,0,365299,0,0,0,39c16561c922f85c786085cb037a4761,2019-10-10T19:40:45.006Z
4168,Open,,6248080,4280524,0,93169,3881824,305531,0,0,1c29f5b1c1c1207008bbcc2e16475f35,2019-10-10T19:40:45.047Z
1626,Closed,2011-02-11T05:00:00.000Z,2403374,571436,0,0,568616,0,0,2820,5a52c2efcddf1972f2f73f44cb83e43a,2019-10-10T19:40:44.971Z
4347,Open,,830700,796997.49,63553.950000000004,0,685410,37750,0,0,612cfc2b1cca0f808f8f940f1a10ddb9,2019-10-10T19:40:44.686Z
1617,Closed,2010-11-06T04:00:00.000Z,46820,46967,3675,0,38780,1294,1330,1888,e8e714e97d48b5d1f2e6cf2e44e0006f,2019-10-10T19:40:44.952Z
1478,Closed,2007-09-26T04:00:00.000Z,145762,32689,7288,0,0,24733,231,437,5ff3f1990c3b123b9371788a6a698647,2019-10-10T19:40:45.293Z
4012,Closed,2016-12-16T05:00:00.000Z,6662752,6470493,0,12000,6428810,29683,0,0,57068355acf8a83d08578af1f8f995bb,2019-10-10T19:40:44.991Z
1038,Closed,2000-09-29T04:00:00.000Z,249200,261797,0,0,244200,3971,6114,7512,f844c22c376f22d2319f9dc374127f00,2019-10-10T19:40:45.292Z
4325,Open,,2224879,1374959.25,108286,74993,1111161.25,80519,0,0,7091e6c972599159a0bd8ba86ff949c4,2019-10-10T19:40:45.010Z
1817,Closed,2018-09-26T04:00:00.000Z,11628628,10634383.44,481716,389821,9302700,460146.44,0,0,272c69c70d6e2da7e53bc53d21e988e9,2019-10-10T19:40:45.056Z
4327,Open,,765723,825566.77,24907.5,0,706113.85,94545.42,0,0,4a4ead5180fc041f9aefa4dd4e5a9d59,2019-10-10T19:40:44.952Z
1893,Closed,2016-03-08T05:00:00.000Z,1788581,1057567,35290,0,1022277,0,0,0,41b6cd0dbb97ddd8f59392a73191533b,2019-10-10T19:40:44.674Z
4178,Closed,2019-06-12T04:00:00.000Z,251914,217506.63,0,0,217383.29,123.34,0,0,46db188bf18a2691b790192f4c6e2bc1,2019-10-10T19:40:44.918Z
1561,Closed,2019-08-29T04:00:00.000Z,88500525,84000410.17,8844281.77,6150198.8,64605345.82,3407324.93,146547.41,846711.4400000001,82d00584020cedb97dca520e29d7fdd0,2019-10-10T19:40:44.590Z
1447,Open,,1196244,1027046,0,0,878504,106879,19023,22640,7e1a76601f7a2514f007e4244e87058a,2019-10-10T19:40:45.011Z
1469,Closed,2010-09-20T04:00:00.000Z,202306,92411,9089,14000,66844,0,2478,0,ceb6b8daf640dfdf412eef5989ed9844,2019-10-10T19:40:44.939Z
1307,Closed,2008-06-30T04:00:00.000Z,143014,111961,6850,0,86847,10290,3176,4798,f26e96c6f2aa7312b3a1bb81a9bf0ec2,2019-10-10T19:40:44.692Z
4323,Open,,734063,579575.54,29040,46853,467787,35895.54,0,0,de54a775f1321016bf6f2a67ec57c3d1,2019-10-10T19:40:44.949Z
4269,Open,,12786378,9945525.5,602905.5,696878,8020488,625254,0,0,7c4eeb8329cc04972eba09f948bc139e,2019-10-10T19:40:44.922Z
1023,Closed,1999-03-02T05:00:00.000Z,365063,386048,0,0,341492,23571,8551,12434,456a4de5c94197a4724de39abe72d5ae,2019-10-10T19:40:45.035Z
4192,Open,,97901,52234.630000000005,0,0,47740,4494.63,0,0,5421ff6a64c5f7f111287e01861591c0,2019-10-10T19:40:44.963Z
986,Closed,2005-04-04T04:00:00.000Z,169562,181891,0,0,169562,0,4547,7782,351c4a58bc135c57417e7f91468e17e1,2019-10-10T19:40:44.927Z
1831,Closed,2019-08-29T04:00:00.000Z,7463347,6984586.55,304500,382155,5932975.67,364955.88,0,0,a9ca70ff3b9a3c7a357b82cafc1c603f,2019-10-10T19:40:44.591Z
875,Closed,1997-08-26T04:00:00.000Z,289750,263462,0,0,243003,0,6146,14313,52d5450eea65578932c85e416d5f7f1f,2019-10-10T19:40:44.685Z
1212,Closed,2007-08-06T04:00:00.000Z,4986531,4520463,179155,0,4179450,0,55649,106209,7e3ff6f47965702cfae6511b524fb47b,2019-10-10T19:40:45.059Z
1015,Closed,2005-06-08T04:00:00.000Z,10732100,10559517,0,0,10175281,32100,88356,263780,b014d0ce49658a41a3f1d1159fdbcd1f,2019-10-10T19:40:44.927Z
4182,Open,,6232862,6312246.66,0,297708,5709751.66,304787,0,0,1a9a7a206f6f5164c1037e7c81a867d0,2019-10-10T19:40:45.043Z
1502,Closed,2007-01-10T05:00:00.000Z,123328,54661,0,0,52578,0,0,2083,274e5204265c8fc22fd6b8ab4a5d4392,2019-10-10T19:40:44.674Z
1356,Closed,2013-04-30T04:00:00.000Z,5523264,4438038,235670,313715,3654248,126269,3753,104383,d4401849a3c400a241585020b2a12ad4,2019-10-10T19:40:44.972Z
4271,Open,,257148,184134,9674,0,161885,12575,0,0,cfc81a971bbeeea04e21179d2f3b1ab3,2019-10-10T19:40:44.937Z
848,Closed,2002-04-23T04:00:00.000Z,115879,52701,5794,0,41750,0,1786,3371,a2d49ae2b62b59d35ecd6320d8e9440c,2019-10-10T19:40:44.593Z
4252,Open,,1695057,1769475.12,48592.12,0,1637995,82888,0,0,4f72f7e83a9210447c69a7ab749ce426,2019-10-10T19:40:45.029Z
4270,Open,,408720,400745.26,0,0,380759.26,19986,0,0,215ca3a3aad8005d2186280b3be4e6b2,2019-10-10T19:40:44.941Z
1904,Closed,2016-03-02T05:00:00.000Z,2359152,683397,0,0,568034,115363,0,0,0d23ff7ce2e9fdfdc04ae8c7a20716b1,2019-10-10T19:40:45.015Z
4276,Open,,2108980,2113329.33,0,121630.52,1888569.81,103129,0,0,1cc839ece42b3b3a3daefda8dc18ff7f,2019-10-10T19:40:45.043Z
1458,Closed,2007-05-17T04:00:00.000Z,1170401,750602,29579,0,685742,0,13994,21287,e52bed3bd79de78cfd5d4f4dd4633446,2019-10-10T19:40:44.672Z
1923,Closed,2015-08-04T04:00:00.000Z,578466,64912,28923,18563,0,17426,0,0,5871b4b052987b55ac808a648ae45eba,2019-10-10T19:40:44.926Z
4256,Open,,8328147,4592836,411293,39713,3734584,407246,0,0,2eb0a0f6544a5df018fcaf542050b984,2019-10-10T19:40:45.035Z
4103,Closed,2018-07-02T04:00:00.000Z,737920,386084,18899,12996,318105,36084,0,0,62bd692e92843d8f095d3490a83f7460,2019-10-10T19:40:44.918Z
4257,Open,,1852256,290143,0,12906,186662,90575,0,0,a772e7a5165832c7e795c991854e47cf,2019-10-10T19:40:45.073Z
884,Closed,1999-05-05T04:00:00.000Z,99461,107926,0,0,99461,0,3097,5368,f1d4fcd9d61e4cd107b0fecffef92615,2019-10-10T19:40:44.714Z
1435,Closed,2015-09-15T04:00:00.000Z,4641295,4023296,135975,289500,3442282,0,47827,107712,44f61df305aeb0736986c1cfac3ee3a7,2019-10-10T19:40:45.054Z
4284,Open,,18582301,8942808.31,351735.31,1209700,6472698,908675,0,0,070b0963421742172b5dea14e951ce1d,2019-10-22T19:32:32.763Z
1780,Closed,2019-08-14T04:00:00.000Z,15535593,14538117.54,534062,292957.53,13165197.57,545900.4400000001,0,0,92d7878b651b6b284332c073469df0c2,2019-10-10T19:40:45.064Z
897,Closed,2002-09-12T04:00:00.000Z,226815,177855,0,0,165752,0,4468,7635,8a96f0a7ffb6a28f00143d6833cc9243,2019-10-10T19:40:45.036Z
1387,Closed,2010-08-02T04:00:00.000Z,734612,659897,0,32775,531391,64885,12647,18199,b012097d23f632d4ac24815f4e651f7f,2019-10-10T19:40:44.714Z
1403,Closed,2008-07-15T04:00:00.000Z,7562379,6709061,210505,514754,5822413,38379,10310,112700,c16d74bca94895171100a260dc033eba,2019-10-10T19:40:45.003Z
1132,Closed,2002-06-30T04:00:00.000Z,598437,631471,0,0,598437,0,13362,19672,74b6e808de41dba9706f99ba8a9d6b90,2019-10-10T19:40:45.069Z
1962,Closed,2017-08-08T04:00:00.000Z,265070,15000,0,15000,0,0,0,0,0e376c880652ed67476de789a11a1384,2019-10-10T19:40:44.675Z
1325,Closed,2005-07-15T04:00:00.000Z,201116,98973,0,0,92620,0,2883,3470,8606299485acccb816e143d9c1ef49ba,2019-10-10T19:40:44.547Z
1973,Closed,2018-09-21T04:00:00.000Z,5130028,4331361,434926,345306,3300271,250858,0,0,03e6a1cbe8bd1237a01c03d74709247b,2019-10-10T19:40:45.047Z
1413,Closed,2007-08-21T04:00:00.000Z,756962,771719,0,0,697361,41416,7300,25642,efc93fbb3d2fd0882005bb72457dd090,2019-10-10T19:40:45.073Z
4128,Closed,2018-08-30T04:00:00.000Z,1462235,960269,59110,87365,767582,46212,0,0,0846db4e6b22cec643babee139142d23,2019-10-10T19:40:44.942Z
4210,Open,,4845390,4358737.96,0,122775,3999022.96,236940,0,0,8c92db42f0397f13df91834a93efd760,2019-10-10T19:40:44.987Z
4167,Open,,7675186,5251853.88,186055.13,472500,4217981.75,375317,0,0,0d842d9fa3eba7b7383000ba6960d5e5,2019-10-10T19:40:45.041Z
1482,Closed,2012-01-05T05:00:00.000Z,4195433,2920980,0,121843,2366507,337592,36469,58569,8d4766e7b527bbdcf34ba4d267fe4f49,2019-10-10T19:40:44.951Z
1137,Closed,2002-10-31T05:00:00.000Z,2000000,2087889,0,0,2000000,0,31563,56326,9e2e2aa0b0f659e23b27a6254ff6cc7e,2019-10-10T19:40:44.981Z
4274,Open,,787474,825975,34194,48750,704524,38507,0,0,d9ee4ee74acced76b702df9427e986cb,2019-10-10T19:40:45.003Z
4258,Open,,5339713,3417609,258581,187317,2756531,215180,0,0,17985792e7d15bda20007f62eb675a96,2019-10-10T19:40:45.041Z
1598,Closed,2010-01-18T05:00:00.000Z,144533,0,0,0,0,0,0,0,1bb9785d7245d0e183f3442a6e8cd183,2019-10-10T19:40:44.705Z
1773,Closed,2014-07-09T04:00:00.000Z,6675730,5317199,0,0,5296657,20542,0,0,13314ef67f139a9683d6170abc73e425,2019-10-10T19:40:44.674Z
1154,Closed,2002-07-15T04:00:00.000Z,3652627,3785829,74662,0,3423299,154666,48375,84827,43d7cf774d44408fcaa05d66b2985b84,2019-10-10T19:40:44.704Z
4259,Open,,4089897,4162440.75,198208,269511.25,3494725.5,199996,0,0,432e49bca1b03a25b963c65614adec3e,2019-12-06T20:47:20.665Z
4158,Open,,6221975,4986952,0,189997,4529492,267463,0,0,f0ab95ea8d9265d45fc328e264cfafc5,2019-10-10T19:40:45.291Z
1305,Closed,2006-04-25T04:00:00.000Z,84390,11345,0,0,10591,0,330,424,97f1dbf9a4e5a444222e73eae5fe8cdf,2019-10-10T19:40:44.925Z
4226,Open,,1934422,2012667.9,0,126450,1791624.9,94593,0,0,13d587d97304f66f0e0d7761fae4db43,2019-12-20T20:32:17.951Z
1571,Closed,2011-02-17T05:00:00.000Z,532634,464357,26220,25660,351498,44913,4779,11287,802a67f93c5d80814c580cfffa2e3578,2019-10-10T19:40:44.969Z
1150,Closed,2001-05-01T04:00:00.000Z,283250,299707,0,0,275001,8250,6857,9599,40c7721ce86404f76615c305a44ae394,2019-10-10T19:40:45.055Z
1010,Closed,2007-11-14T05:00:00.000Z,8983333,7695859,0,0,6965275,472031,74109,184444,9e3196375edb557a6796d590ee991dd7,2019-10-10T19:40:45.042Z
1799,Closed,2014-02-25T05:00:00.000Z,319366,319962,0,0,319366,596,0,0,b6909a867b43d7babb89fea4e1be5113,2019-10-10T19:40:44.679Z
1501,Closed,2011-03-03T05:00:00.000Z,4175549,2274847,130935,94125,1723745,241950,21650,62442,2970d19ba321d4d6d67bf5d06f1b9bc0,2019-10-10T19:40:44.698Z
1359,Closed,2010-05-13T04:00:00.000Z,417266,273677,0,0,213768,47579,5333,6997,884193121888f507f916f979089d76f2,2019-10-10T19:40:44.989Z
4101,Closed,2018-09-21T04:00:00.000Z,1139196,812102,0,0,799739,12363,0,0,bc74592cee658cec6e3806b0d5d3fb9e,2019-10-10T19:40:45.291Z
1395,Closed,2010-08-12T04:00:00.000Z,236914,244547,11846,16500,184379,19375,5396,7051,e3948935af6ede321eb5147b0dff5104,2019-10-10T19:40:44.556Z
4078,Closed,2019-06-10T04:00:00.000Z,1029333,601235.0700000001,49557,31634,509436.07,10608,0,0,ea56f571b484444d65972bd7409b82ac,2019-10-10T19:40:44.974Z
4122,Closed,2019-08-28T04:00:00.000Z,3890685,4080910,0,0,3890685,190225,0,0,2844dbd0938f63ff72ea153bd9d96f0b,2019-10-10T19:40:45.293Z
1591,Closed,2011-03-02T05:00:00.000Z,493257,456544,0,0,437788,0,2285,16471,34f9b05b76c1aa5c3227a6f1951d4042,2019-10-10T19:40:45.057Z
982,Closed,2002-09-20T04:00:00.000Z,1762500,1788077,68241,0,1613366,0,28613,77857,ec68c11340b5de1c69b0a0c7289e188f,2019-10-10T19:40:44.722Z
1210,Closed,2004-10-07T04:00:00.000Z,1272680,1065050,0,0,926198,92455,21436,24961,9863c669c3d488c6a874003a9d8a0011,2019-10-10T19:40:44.998Z
859,Closed,2002-04-16T04:00:00.000Z,582459,623542,0,0,580206,2253,13207,27876,d434b6ad5264118827cf4e1f4e0b40e8,2019-10-10T19:40:44.683Z
907,Closed,2000-07-12T04:00:00.000Z,298784,248843,0,0,197822,35578,5860,9583,4ec8a8092d432611ae7fa08dd38d3833,2019-10-10T19:40:44.955Z
4191,Open,,87211,75629,0,0,75629,0,0,0,24581db30a1eb7d9798dd093ebb368a3,2019-10-10T19:40:45.290Z
831,Open,,0,0,0,0,0,0,0,0,24bd10d5b4a2dffa5232ae0f4abe68dc,2019-10-10T19:40:44.594Z
1715,Closed,2012-05-09T04:00:00.000Z,660466,620770,0,0,620770,0,0,0,3b8c10b05de9c1364b9348378216b2ce,2019-10-10T19:40:44.675Z
1610,Closed,2012-01-06T05:00:00.000Z,920937,958210,0,0,920936,0,6789,30485,0d885ac3a98bfc48927875bd9861b4e3,2019-10-10T19:40:44.715Z
957,Closed,1998-12-04T05:00:00.000Z,4185605,3167806,0,0,3056298,0,42256,69252,bc12ef3b18372ec18020875d3ce7b7b4,2019-10-10T19:40:44.942Z
4213,Open,,1363925,1427504,0,0,1360808,66696,0,0,aa0d3c2e6930103b476690a0d7417f73,2019-10-10T19:40:44.966Z
1740,Closed,2015-10-21T04:00:00.000Z,1899055,1300611,0,89776,1118344,92491,0,0,f46ec420da3ea3ba01eb4539cf18787a,2019-10-10T19:40:44.684Z
1541,Closed,2015-01-15T05:00:00.000Z,1699817,1559063,0,0,1326319,172904,24615,35225,079c98e89ec13fd7a399adeffe975e26,2019-10-10T19:40:44.724Z
1998,Closed,2018-01-17T05:00:00.000Z,14196201,10962304,618567,263907,9709855,369975,0,0,6aff40f395428c4688e9a56acd79f417,2019-10-10T19:40:45.078Z
4089,Open,,1525853,1382519,17891,43575,1246439,74614,0,0,3a364182fd3a3835ded68ae1bf897c49,2019-10-20T14:29:28.327Z
4442,Open,,7705565,0,0,0,0,0,0,0,0150051c9d8d885e75fcdb66ef0847c4,2019-12-24T20:32:15.356Z
1432,Closed,2007-12-03T05:00:00.000Z,817188,662196,27033,30233,511031,70406,9005,14488,06999ddf386aa69abb43b234c51271ff,2019-10-10T19:40:44.706Z
4013,Open,,17633066,15787578,812482,948767,13189129,837200,0,0,49612e5bb8e35df093865421b47d5b24,2019-10-10T19:40:44.923Z
4177,Open,,34621468,29010890.9,0,0,27638768.9,1372122,0,0,a0c824c337246bf6d9b839ae41c50b3a,2019-11-15T20:52:41.839Z
1320,Closed,2008-05-28T04:00:00.000Z,679140,420140,31051,0,333619,35112,9219,11139,a6cffc29afb3c42bf115d70fd7cfe927,2019-10-10T19:40:44.709Z
911,Closed,1999-01-28T05:00:00.000Z,178754,192811,0,0,177912,842,4761,9296,07df84e34ca305d3a609ba1d38687a78,2019-10-10T19:40:44.554Z
854,Closed,1998-04-23T04:00:00.000Z,209362,107758,0,0,99678,0,3093,4987,3e870ff81fe1be88d89160a9de3371e4,2019-10-10T19:40:44.985Z
1385,Closed,2004-02-17T05:00:00.000Z,137349,136965,0,0,104982,24600,3184,4199,0ac64b3c38ad09770ad1a70bb012fa50,2019-10-10T19:40:44.701Z
4002,Closed,2019-08-20T04:00:00.000Z,5046137,4510495,0,217260,4048149,245086,0,0,c6b81b2bb7749bd841408b8848462dcf,2019-10-10T19:40:45.069Z
4184,Open,,3669710,2990730,115250,142016,2557380,176084,0,0,582e80e1b372901c64366fd0ddd1318f,2019-10-10T19:40:44.916Z
1834,Closed,2016-09-01T04:00:00.000Z,1265864,1280884,0,37500,1228364,15020,0,0,08636daf77280adde5f0cf8101ecaa8b,2019-10-10T19:40:44.698Z
4186,Closed,2018-09-27T04:00:00.000Z,1466986,1512985,57515,102625,1282309,70536,0,0,439a5e6bc505fe145e626b1ceb9cf830,2019-10-10T19:40:45.069Z
1063,Closed,2003-03-18T05:00:00.000Z,668525,685071,13862,0,597295,38700,14413,20801,d04e22913202a261ced3f60234a6e610,2019-10-10T19:40:44.684Z
902,Closed,1996-07-12T04:00:00.000Z,96325,105114,0,0,96301,0,3041,5772,ad5cf01d7caa5b086eb98fa88b797475,2019-10-10T19:40:45.075Z
4185,Closed,2018-04-16T04:00:00.000Z,804198,213400,73399,0,129331,10670,0,0,768174fa237ee3827a232cd91bf424c1,2019-10-10T19:40:44.918Z
1477,Closed,2010-04-13T04:00:00.000Z,456073,374643,0,0,334170,22681,7881,9911,f2d862d61675c599327d347d737c79fd,2019-10-10T19:40:44.949Z
1145,Closed,2001-10-11T04:00:00.000Z,298688,240425,0,0,227659,0,5695,7071,fa60836ac2fec8c86ea9c55bb75b7b08,2019-10-10T19:40:44.701Z
1185,Closed,2005-05-26T04:00:00.000Z,1834879,1523734,91744,0,1370885,0,25978,35127,a36222ddbca1cd413a9d7e53faa6d79c,2019-10-10T19:40:44.694Z
4176,Open,,8057037,8070748.75,802500,0,6874259.75,393989,0,0,102da9b0f301a6fdab561b9c9de8e1cf,2019-10-10T19:40:44.917Z
1118,Closed,2002-05-08T04:00:00.000Z,1363000,1432708,68150,0,1294850,0,25076,44632,4c58169f112d03c9fe29dc89070eac83,2019-10-10T19:40:44.696Z
1054,Closed,2004-03-11T05:00:00.000Z,2187234,2284876,0,0,2122985,64248,33395,64248,f8a34e68ca281465ceaf1b809bc74673,2019-10-10T19:40:44.720Z
4367,Open,,1188123,60998.130000000005,0,0,58456.130000000005,2542,0,0,bc55867e548c809085615a6fe78394a1,2019-10-10T19:40:44.693Z
1444,Closed,2006-09-28T04:00:00.000Z,139068,140456,0,0,29960,109108,688,700,69717c1c3315f291e497b6b7a8cd0f5f,2019-10-10T19:40:44.953Z
1391,Closed,2019-02-07T05:00:00.000Z,306951123,264635280,19290359,462750,241974866,1571364,37316,1298625,ee6f4d04d6a1b8ea80b659d4165e6fdb,2019-10-10T19:40:44.556Z
1899,Closed,2018-07-25T04:00:00.000Z,14802375,14575777,0,446571,13759856,369350,0,0,209ef141ce32b9f12d34dd4b1ce77424,2019-10-10T19:40:45.036Z
4169,Open,,936869,958317.75,0,64689,847815.75,45813,0,0,72b234e46289e4f125eb9f186ca4d6e3,2019-10-10T19:40:45.049Z
1078,Closed,1998-12-02T05:00:00.000Z,559718,587058,0,0,557695,0,12491,16872,d28a6a642eb095db14046f85b5b52da5,2019-10-10T19:40:45.072Z
1286,Closed,2005-02-11T05:00:00.000Z,692177,621569,34609,0,554663,0,13167,19130,18918458e4043070d8f4a4d8bdfa8235,2019-10-10T19:40:44.922Z
1562,Closed,2007-02-20T05:00:00.000Z,127800,101251,0,0,101250,0,1,0,607fcb9e99f16a1dc5fdc53430143082,2019-10-10T19:40:44.554Z
1938,Closed,2013-04-03T04:00:00.000Z,696029,135660,0,0,135660,0,0,0,35db0c6396f4c97afe9f0c3d11440411,2019-10-10T19:40:45.011Z
1291,Closed,2006-07-18T04:00:00.000Z,490555,381636,0,0,361520,0,8463,11653,4c839354c246e0be02e315738d73b151,2019-10-10T19:40:44.710Z
1472,Closed,2009-08-27T04:00:00.000Z,1041633,1075159,0,0,1041632,0,7864,25663,20da980ea3b754452ca9f1c16f4ccdeb,2019-10-10T19:40:44.991Z
1983,Closed,2017-05-15T04:00:00.000Z,3763698,1443981,175467,101250,1083506,83758,0,0,ce7b68e2d1455b0fd18b5bd4372f2137,2019-10-10T19:40:44.678Z
