disasterNumber,hmgpCloseoutStatus,hmgpReconciliationDate,lockedInCeilingAmount,obligatedTotalAmount,obligatedInitiativeAmount,obligatedPlanningAmount,obligatedRegularAmount,obligatedSMCAmount,obligatedGranteeAdmin,obligatedSubgranteeAdmin,hash,lastRefresh
1027,Closed,1996-05-30T04:00:00.000Z,8009578,8289061,826727,0,7182851,0,77060,202423,958b61b8ebf3e689bf00a2ff7f67e01c,2019-10-10T19:40:45.017Z
939,Closed,2000-09-20T04:00:00.000Z,42273,46153,0,0,42273,0,1344,2536,7acfaced35a11d042d1a0e7e01bf7a83,2019-10-10T19:40:44.959Z
1508,Closed,2006-11-06T05:00:00.000Z,144095,152917,0,0,144095,0,3979,4843,ba416c30264deaa6baa015969fbab0d7,2019-10-10T19:40:45.028Z
1480,Closed,2006-03-24T05:00:00.000Z,242461,245527,0,0,237700,0,488,7339,8dfb7f1ff4a28458da32e5dda0964e95,2019-10-10T19:40:44.970Z
1481,Closed,2010-08-26T04:00:00.000Z,797703,423256,0,0,342457,72588,7617,594,6c18bcc2041689e773cbfa4a55606fa2,2019-10-10T19:40:45.060Z
1539,Open,,92911919,87722073.5,9004393,6274240,67109646.97,3704052.52,453821,1175920.01,1654e9b220e6f8d03e23b2c08d8fb231,2019-11-20T20:32:48.611Z
1567,Closed,2008-03-21T04:00:00.000Z,113870,113870,0,0,113870,0,0,0,bf7d639e10839b25f5f6da3b991dd9b7,2019-10-10T19:40:44.973Z
935,Closed,2006-02-21T05:00:00.000Z,2303555,2423172,0,0,2299555,3672,34883,85062,08363531188b2fff70bed8fd27cc9dcc,2019-10-10T19:40:44.961Z
1606,Closed,2016-09-06T04:00:00.000Z,103449143,90546358,3711223,0,85545767,167281,25387,1096700,08909d75df3d059a70faf390bda5cf5b,2019-10-10T19:40:44.680Z
1180,Closed,2003-07-07T04:00:00.000Z,4793630,4867931,52588,0,4558542,94878,59088,102835,eff24aa105ddba55243618ef8305c491,2019-10-10T19:40:44.683Z
1166,Closed,2000-12-14T05:00:00.000Z,364043,342882,0,0,281582,45087,7704,8509,bfa97039099eaeb7b9dbea4fd025551e,2019-10-10T19:40:45.062Z
1019,Closed,2005-05-26T04:00:00.000Z,688330,724003,198191,0,486795,2547,15177,21293,56f3bd725300fef43d5e0b95fbcab22c,2019-10-10T19:40:45.054Z
1129,Closed,2007-07-02T04:00:00.000Z,20685837,20591747,0,0,20023698,171723,53267,343059,070fba37f51a544e5e9fe64c9fc7dad1,2019-10-10T19:40:44.722Z
1243,Closed,2004-12-02T05:00:00.000Z,630841,580602,8029,0,543761,0,12365,16447,0062c88ee809176958fbe078b5525fb7,2019-10-10T19:40:44.701Z
1003,Closed,2003-04-23T04:00:00.000Z,304372,319571,28348,0,273306,0,7293,10624,0264f2ed9cfbfcb6a3c56eb2247aab13,2019-10-10T19:40:44.707Z
4282,Open,,617950,648168,28125,0,589825,30218,0,0,25c8b57538cc736b688314348342e303,2019-10-10T19:40:44.919Z
906,Closed,2003-05-19T04:00:00.000Z,530707,557519,0,0,529219,0,11941,16359,b874eae73c2148fb3f344cae2f76e740,2019-10-10T19:40:44.982Z
1113,Closed,2000-03-30T05:00:00.000Z,215244,227921,8860,0,198140,8244,5449,7228,96aa30304c0d218bc0a40151009ef7c1,2019-10-10T19:40:44.718Z
4283,Open,,48832037,21658792.69,0,0,19270905.69,2387887,0,0,b254329e73ad85c69d74a69a0a8e5fed,2019-10-12T15:43:09.209Z
1096,Closed,2003-07-07T04:00:00.000Z,5778201,5989016,124490,0,5653711,0,65617,145198,2d82ba183517451553c41745ba1e739b,2019-10-10T19:40:44.686Z
844,Closed,2002-03-11T05:00:00.000Z,1938940,2032964,0,0,1762444,176496,31019,63005,f192620b5299d7fa88e8b63b1026d60d,2019-10-10T19:40:44.694Z
4289,Open,,5648449,3926930.34,21177.07,22500,3726580.27,156673,0,0,717c65c974c94f1088923e1851c3a048,2019-12-17T20:32:32.575Z
832,Closed,1998-01-20T05:00:00.000Z,317013,340186,0,0,304013,13000,7651,15522,a5f2ede315df71ab5a7e85ca3a734b0d,2019-10-10T19:40:44.705Z
4288,Open,,1745397,1768373.2000000002,26608.2,109705,1546710,85350,0,0,959befeed08e5380999100e8188a5095,2019-11-21T20:32:38.585Z
4286,Open,,43749199,21914152.25,2070046,69406,17635364.25,2139336,0,0,41105ebe96dc0dca8e82a92b3b855d36,2019-10-10T19:40:45.007Z
1013,Closed,2004-05-18T04:00:00.000Z,1985365,1672707,267669,0,1332686,0,27453,44899,26478d410bb2c6432336a3af922076ef,2019-10-10T19:40:44.588Z
4285,Open,,83681046,71837049.48,1076696.25,1800000,66639819.25,2320533.98,0,0,da4063915e64695f51c53ef68bf55a0f,2019-10-27T09:28:15.252Z
4290,Open,,1412188,1170134.25,68831,20250,1011997.25,69056,0,0,4084415c487f561548646a95ea339827,2019-10-10T19:40:44.958Z
887,Closed,1998-12-04T05:00:00.000Z,923860,365696,0,0,342832,0,8151,14713,d90c6fa0e09532d309c13c77d25030a6,2019-10-10T19:40:44.685Z
1205,Closed,2003-04-30T04:00:00.000Z,278346,294298,0,0,243616,34730,6751,9201,49e38885cdba280cf1e4b106c122b563,2019-10-10T19:40:44.576Z
4287,Open,,960588,275159,37415,0,191980,45764,0,0,00eae3fa04019a0784511920b56df074,2019-11-19T20:32:43.589Z
4294,Open,,2705670,2815497.75,124850,36000,2522340.75,132307,0,0,2db38fab8a6df0e66ba583e64e37fa17,2019-11-21T20:32:38.585Z
1186,Closed,2005-07-18T04:00:00.000Z,2135400,1460344,100000,0,1166047,135400,25392,33505,1d026cd255313e26ec4a7baf0704b90e,2019-10-10T19:40:44.710Z
4298,Open,,1445748,1498288.62,67836.37,97045,1263779.25,69628,0,0,cf7d35af519de985100c639ce5e4d592,2020-01-01T20:44:01.870Z
952,Closed,2002-07-24T04:00:00.000Z,520438,558252,11265,0,509071,0,11928,25988,e7c44316119519010126d74d2b6a5d4c,2019-10-10T19:40:44.576Z
825,Closed,1992-11-24T05:00:00.000Z,124871,132551,0,0,117020,5851,3579,6101,b96dfa63995b7351a84e2b741cfb34a2,2019-10-10T19:40:44.704Z
