Disaster,State,County,City,Zip Code,Valid Registrations,Total Inspected,Inspected with No Damage,Total with Moderate Damage,Total with Major Damage,Total with Substantial Damage,Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants,address
4116,IL,Lake (County),NORTH CHICAGO,60064,225,221,172,40,3,6,87,"$160,933",$0,"$108,804","$52,129",85,2,0,0,"4116, IL, Lake (County)"
4116,IL,Cook (County),PALATINE,60067,2,2,2,0,0,0,2,"$1,203",$0,$0,"$1,203",2,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),PARK RIDGE,60068,39,25,15,6,0,4,10,"$27,315",$0,"$9,284","$18,031",10,0,0,0,"4116, IL, Cook (County)"
4116,IL,Lake (County),LINCOLNSHIRE,60069,2,2,1,0,0,1,1,"$2,872",$0,"$2,872",$0,1,0,0,0,"4116, IL, Lake (County)"
4116,IL,Cook (County),PROSPECT HEIGHTS,60070,5,2,2,0,0,0,1,$331,$0,$0,$331,1,0,0,0,"4116, IL, Cook (County)"
4116,IL,Lake (County),ROUND LAKE,60073,9,8,4,4,0,0,4,"$5,253",$0,"$4,394",$859,4,0,0,0,"4116, IL, Lake (County)"
4116,IL,Lake (County),ROUND LAKE BEACH,60073,16,16,7,9,0,0,10,"$24,767",$0,"$22,254","$2,513",10,0,0,0,"4116, IL, Lake (County)"
4116,IL,Lake (County),ROUND LAKE PARK,60073,8,8,4,2,0,2,4,"$11,232",$0,"$9,608","$1,624",4,0,0,0,"4116, IL, Lake (County)"
4116,IL,Lake (County),ROUNDLAKE PARK,60073,1,1,1,0,0,0,1,$658,$0,$0,$658,1,0,0,0,"4116, IL, Lake (County)"
4116,IL,Cook (County),PALATINE,60074,3,2,2,0,0,0,1,$300,$0,$0,$300,1,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),SKOKIE,60076,87,68,45,16,0,7,33,"$86,064",$0,"$27,270","$58,794",33,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),SKOKIE,60077,58,52,37,8,0,7,22,"$40,668",$0,"$22,143","$18,525",22,0,0,0,"4116, IL, Cook (County)"
