disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,hash,lastRefresh
3067,,,,,,,,,,71928a088efe5ab749c544e0cb858b2b,2019-10-10T20:03:57.811Z
3092,,,,,,,,,,c3ad467690a3873c9f6ac28a13968685,2019-10-10T20:03:57.793Z
3117,,,,,,,,,,d4f8af2bf129f6710a3b100b52da446e,2019-12-09T15:26:09.384Z
3142,,,,,6218085.26,6218085.26,,2020-01-04T00:00:00.000Z,,abf0ccfb557b55176097a0df340c1517,2020-01-04T03:23:29.573Z
2922,,,,,96413.96,17562.36,,2020-01-04T00:00:00.000Z,,847e86f6aabf43e9ea2be752109d8e05,2020-01-04T03:23:29.323Z
2947,,,,,411278.9,186835.89,,2020-01-04T00:00:00.000Z,,9b0b072648ef7b255f48ad61ad7a9465,2020-01-04T03:23:29.341Z
2972,,,,,427980.25,,,2020-01-04T00:00:00.000Z,,461be3ea4128fffd3524a03edce72fa5,2020-01-04T03:23:29.279Z
2997,,,,,51448.94,4344.83,,2020-01-04T00:00:00.000Z,,d66a5bdd1d284d04d269bfa833f045f2,2020-01-04T03:23:29.563Z
3023,,,,,,,,,,f93d435b043c107744de007737a6cd0f,2019-10-10T20:03:57.741Z
3102,,,,,,,,,,34aefef47979e4ed90e48fedbb15da29,2019-12-09T15:26:09.381Z
3127,,,,,,,,,,5119a2168d83fed99d0b5d962de1bd62,2019-12-09T15:26:09.397Z
3152,,,,,,,,,,6879f3e9c07a8878511b49f15b43ea32,2019-10-10T20:03:58.215Z
2932,,,,,308817.5,154133.15,,2020-01-04T00:00:00.000Z,,bebd7433e1a2c61e8fa6b21d701a6d6b,2020-01-04T03:23:29.351Z
2957,,,,,23739.87,3820.06,,2020-01-04T00:00:00.000Z,,93c8fd709c6ba8962614181803062596,2020-01-04T03:23:29.286Z
2982,,,,,24924.14,,,2020-01-04T00:00:00.000Z,,c77636f2c60cf439c0fbecc2a4dcf63d,2020-01-04T03:23:29.570Z
3008,,,,,,,,,,d66f21dc266c1a7a2bb6198055076107,2019-10-10T20:03:57.767Z
3033,,,,,,,,,,bc395f6aae1324a9858d7dd04a80eff9,2019-10-10T20:03:57.768Z
3061,,,,,,,,,,19df0ca51fe383a17324b255b0af6598,2019-10-10T20:03:58.218Z
3051,,,,,,,,,,33bbe076f16aec9916ca894133a1d8b2,2019-10-10T20:03:57.827Z
3086,,,,,,,,,,2c2ddad0622ffb20ab6894a8aea30a3b,2019-10-10T20:03:57.818Z
3076,,,,,,,,,,fb541902c7d970628b4268bb7eb8e0b4,2019-10-10T20:03:57.769Z
3111,,,,,,,,,,4bb36bf18eab422bfa4ad99424594bee,2019-12-09T15:26:09.402Z
3101,,,,,,,,,,e0bbcc1f56fd7ba32a8ad9d0af204089,2019-12-09T15:26:09.066Z
3136,,,,,4673921.01,4673921.01,,2020-01-04T00:00:00.000Z,,b2dc109c9f9c23fbdb0d2c6b7997b05b,2020-01-04T03:23:29.565Z
3126,,,,,,,,,,19822a2e6d3982c24a972de3e7e09577,2019-12-09T15:26:09.401Z
