disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,hash,lastRefresh
1258,,,,,,,,,,14b596ca87c2ab937c7efa471e7cd646,2019-12-09T15:26:08.632Z
1268,,,,,721979.29,43929.52,655398.71,2020-01-04T00:00:00.000Z,,0b932287549e6c31f59619262adb4c92,2020-01-04T03:23:28.732Z
1241,,,,,,,,,,e35a342f8d3b91c3b6ac1f116fdc6dcc,2019-10-10T20:03:57.415Z
1265,,,,,6970269.48,2590192.47,4349918.09,2020-01-04T00:00:00.000Z,,481b6d889d9f83336fe30de4720585ac,2020-01-04T03:23:28.732Z
1247,,,,,,,,,,ed788f6e7982fda112ef94d3ca140591,2019-12-09T15:26:08.483Z
1272,,,,,40588743.22,29892462.64,10342694.45,2020-01-04T00:00:00.000Z,,a41b179793497e18d53c966fab08db23,2020-01-04T03:23:28.733Z
1243,,,,,,,,,,1d59adf08ab2ba2a8f2a417c49600360,2019-12-09T15:26:08.483Z
1239,,,,,8225378.98,4219882.47,3961713.95,2020-01-04T00:00:00.000Z,,0c2d31445803f407ad779215e656f766,2020-01-04T03:23:28.721Z
1278,,,,,501235.42,20563.57,469397.28,2020-01-04T00:00:00.000Z,,2e1d7163957f493fe038a5ea39769bfc,2020-01-04T03:23:28.734Z
1250,,,,,,,,,,2ad600d561707691a6dd66d331ad43dd,2019-12-09T15:26:08.629Z
1275,,,,,5322523.58,2426827.39,2821849.55,2020-01-04T00:00:00.000Z,,3fa017615e03d643525370e1da92aac3,2020-01-04T03:23:28.736Z
1257,,,,,33279674.22,9756691.41,23183628.92,2020-01-04T00:00:00.000Z,,5de365ff9351b135f66ee9d3892004f7,2020-01-04T03:23:28.730Z
1285,,,,,518798.92,331705.11,182722.6,2020-01-04T00:00:00.000Z,,a873fc17b6d55f7f14cbc3d9fc58d646,2020-01-04T03:23:28.914Z
1310,,,,,4680340.29,1386231.25,3245139.39,2020-01-04T00:00:00.000Z,,91c01579b8579c583c67222a75195932,2020-01-04T03:23:28.933Z
1335,,,,,31020492.12,4053927.92,26379603.98,2020-01-04T00:00:00.000Z,,9d80839663dafd6457654a1b4cdd5776,2020-01-04T03:23:28.957Z
1282,,,,,10955690.74,1814403.47,8883933.06,2020-01-04T00:00:00.000Z,,1addc79bdcdaf6718ed6890f6552493c,2020-01-04T03:23:28.739Z
1256,,,,,,,,,,ddd00deced0a0007c6bc574a5f259ac2,2019-10-10T20:03:57.356Z
1263,,,,,,,,,,9c959f67424e682c2c71c64e75b3c7b1,2019-12-09T15:26:08.637Z
1273,,,,,3144097.57,2597610.34,546487.23,2020-01-04T00:00:00.000Z,,4a129d5a41a81178c88290df79b31a8c,2020-01-04T03:23:28.735Z
1245,,,,,,,,,,b0a2f4c01228d55f3932eaf0beae3bf1,2019-12-09T15:26:08.482Z
1270,,,,,,,,,,26c27a34168890bfac8d8da1f987cec4,2019-10-10T20:03:57.413Z
1252,,,,,,,,,,9ffcff56a557d5462cafe6aad7ed7a50,2019-12-09T15:26:08.627Z
1277,,,,,8534710.43,1862546.18,6422742.96,2020-01-04T00:00:00.000Z,,9f9be774a4474151b45ab08627058f82,2020-01-04T03:23:28.955Z
1305,,,,,594693.82,73108.21,521585.61,2020-01-04T00:00:00.000Z,,f73694b139f78623e0b291fec1956666,2020-01-04T03:23:28.936Z
1248,,,,,,,,,,58cfd336cbe58ed47663f39fec6b8524,2019-12-09T15:26:08.483Z
1244,,,,,,,,,,341a5cf7fd09054d3c2fc2598c02a1e1,2019-12-09T15:26:08.482Z
1283,,,,,11679939.6,3332720.86,8260184.09,2020-01-04T00:00:00.000Z,,f564e682ae0c3f0f8fcaef5ee53c1328,2020-01-04T03:23:28.740Z
1255,,,,,,,,,,5b3a71cbdc5cf2499c74ee4520ee2006,2019-12-09T15:26:08.631Z
1280,,,,,801099.77,621063.41,162372.31,2020-01-04T00:00:00.000Z,,d9b37621a9e455511e0235fed189f3a5,2020-01-04T03:23:28.734Z
1262,,,,,15377362.84,4437805.23,10793815.08,2020-01-04T00:00:00.000Z,,9a846319b8be0c530306bfb81f767179,2020-01-04T03:23:28.731Z
1290,,,,,,,,,,fb67f3d8924c46ac1d2a133cf237a4d7,2019-10-10T20:03:57.344Z
1315,,,,,2043473.79,1256195.35,847752.31,2020-01-04T00:00:00.000Z,,8b1c9a1bb3aa024f644cace5599ac22f,2020-01-04T03:23:28.940Z
1340,,,,,,,,,,6a387d4b780e5ed9644e5a8a33bca4cf,2019-10-10T20:03:57.405Z
1287,,,,,3704291.45,2689766.86,906909.42,2020-01-04T00:00:00.000Z,,39d0b7e1b87d415221fd1a5444e8c084,2020-01-04T03:23:28.738Z
1261,,,,,5735788.21,2349946.79,3385841.42,2020-01-04T00:00:00.000Z,,c7a80834f5bd7c22c46b73933a78edbe,2020-01-04T03:23:28.732Z
1253,,,,,,,,,,f6b9d1eedc893d4c7c04bea314e6427b,2019-12-09T15:26:08.630Z
1249,,,,,,,,,,601c91a86d71208ab7ce555f34aedb4a,2019-12-09T15:26:08.483Z
1288,,,,,7734889.99,727111.27,6928401.83,2020-01-04T00:00:00.000Z,,44fcdc08012836e686915c7bf668b71b,2020-01-04T03:23:28.917Z
1260,,,,,9863594,3896685.75,5833055.72,2020-01-04T00:00:00.000Z,,7d68edab0069b1dae24c393a10cb5ed6,2020-01-04T03:23:28.731Z
1240,,,,,,,,,,428b0a74cb18289a345a7b3006484c2e,2019-12-09T15:26:08.683Z
1267,,,,,,,,,,d355d770c28756e2c3811f3907e40aad,2019-10-10T20:03:57.331Z
1295,,,,,38703382.74,17818465.28,20285139.28,2020-01-04T00:00:00.000Z,,1dba2023626a95f38e5a7f496dc7a8a7,2020-01-04T03:23:28.739Z
1320,,,,,2820111.53,245508.68,2514961.75,2020-01-04T00:00:00.000Z,,1da51294540de826f6aa3553fa18f645,2020-01-04T03:23:28.942Z
1345,,,,,288481152.48,6632491.52,279844097.69,2020-01-04T00:00:00.000Z,,83864d58093a7a38017f281f120ece77,2020-01-04T03:23:28.954Z
1242,,,,,,,,,,59dace31905d94e74e5d9d4e594c5a37,2019-12-09T15:26:08.677Z
1266,,,,,7265330.4,4572203.46,2603875.52,2020-01-04T00:00:00.000Z,,56b2c46a0d15b07000ed1719b1c05af2,2020-01-04T03:23:28.733Z
1380,,,,,9040908.02,6082907.61,2964651.36,2020-01-04T00:00:00.000Z,,5d45909be80d5f2e2e2a295e87fa261d,2020-01-04T03:23:28.938Z
1302,,,,,1875868.51,590763.4,1224126.36,2020-01-04T00:00:00.000Z,,963476c4e94a047ac444093cb2f3b825,2020-01-04T03:23:28.932Z
1327,,,,,619592.3,274870.5,335828.76,2020-01-04T00:00:00.000Z,,1d950ab33744168c021b1ae699adc98a,2020-01-04T03:23:28.959Z
1352,,,,,1085125.11,1085125.11,,2020-01-04T00:00:00.000Z,,c8e0f4a252ffea2f9b2e5643856cf500,2020-01-04T03:23:28.740Z
1377,,,,,741930.23,9998.01,730615.2,2020-01-04T00:00:00.000Z,,fd412e318450b6631774bad3ddbedffa,2020-01-04T03:23:28.926Z
1402,,,,,45020240.33,19181030.22,25287060.53,2020-01-04T00:00:00.000Z,,f531891b78593ad49ce781550dd630dd,2020-01-04T03:23:28.731Z
1427,,,,,2193357.34,245479.87,1899767.97,2020-01-04T00:00:00.000Z,,2afbff567c47a63a319a07ba0ffabf0f,2020-01-04T03:23:28.951Z
1313,,,,,8726361.63,3164581.04,5580429.08,2020-01-04T00:00:00.000Z,,986542eaa5bb695ab778d60a3be5dd69,2020-01-04T03:23:28.938Z
1338,,,,,297203.25,294142.3,3060.95,2020-01-04T00:00:00.000Z,,155a13699c41163c8c31f38f9d33b770,2020-01-04T03:23:28.953Z
1363,,,,,3019659.14,103814.9,2934328.57,2020-01-04T00:00:00.000Z,,b8f59bcd42f2245fe14e6c358a19e8aa,2020-01-04T03:23:28.959Z
1370,,,,,36227572.27,8928827.59,27261029.27,2020-01-04T00:00:00.000Z,,a831ac52f63aaa84b416f9d961a59cbf,2020-01-04T03:23:28.955Z
1330,,,,,1779885.95,156784.46,1615308.59,2020-01-04T00:00:00.000Z,,b9c3d0fcf86432ef577d050fdaf5a3d5,2020-01-04T03:23:28.950Z
1292,,,,,298105794.06,143602692.89,150485207.39,2020-01-04T00:00:00.000Z,,feb11d46bca9167d107fbea88e2eed77,2020-01-04T03:23:28.927Z
1355,,,,,160002351.14,59324006.19,99573522.52,2020-01-04T00:00:00.000Z,,06abd17eab85d03c0a527f6899d2a7d9,2020-01-04T03:23:28.722Z
1251,,,,,,,,,,23d47a474190e2d01357777e97020a48,2019-12-09T15:26:08.483Z
1317,,,,,3394920.15,1502165.83,1892754.32,2020-01-04T00:00:00.000Z,,ea202049022a3191c6ebb72562705edf,2020-01-04T03:23:28.940Z
1365,,,,,2855252.63,22820.59,2871984.6,2020-01-04T00:00:00.000Z,,1cac85e7a491c43ad45230b3975b3f0d,2020-01-04T03:23:28.892Z
1342,,,,,,,,,,8ea2a464b307857dfe2239a2cd917f9e,2019-10-10T20:03:57.405Z
1367,,,,,8618000.36,3601067.84,4689231.55,2020-01-04T00:00:00.000Z,,f06cb30b66bf8bda55107d9705ca2d02,2020-01-04T03:23:28.732Z
1300,,,,,34309695.49,16704381.41,17070710.07,2020-01-04T00:00:00.000Z,,f968d044fcb817a473a149834609f191,2020-01-04T03:23:28.914Z
1392,,,,,4938627.13,4905529.68,,2020-01-04T00:00:00.000Z,,03a84e274df7a732e58777e7a819061b,2020-01-04T03:23:28.937Z
1325,,,,,1354522.51,1343225.92,,2020-01-04T00:00:00.000Z,,82c626729a44d798e1f0e8d8b7e1acd6,2020-01-04T03:23:28.947Z
1417,,,,,1509686.69,125487.68,1336211.76,2020-01-04T00:00:00.000Z,,c0e6c07d3752da169fe0c84b98020a87,2020-01-04T03:23:28.939Z
1350,,,,,2127262.15,22787.43,2097786.27,2020-01-04T00:00:00.000Z,,c8badcb225371d59e6865b0384ff0949,2020-01-04T03:23:28.953Z
1303,,,,,5462529.93,1195275.68,4267254.25,2020-01-04T00:00:00.000Z,,837e80325d59121579c5fbb3ef4dc30a,2020-01-04T03:23:28.933Z
1246,,,,,,,,,,127d2b953404a018fd2f5053a69567da,2019-12-09T15:26:08.628Z
1328,,,,,2551571.28,432319.67,2068700.53,2020-01-04T00:00:00.000Z,,eb740f65e30afc34ebacc2b779649f34,2020-01-04T03:23:28.949Z
1360,,,,,18209539.53,9579191.49,8903962.17,2020-01-04T00:00:00.000Z,,b45e1c4d4abdee7bb929ab507aa88812,2020-01-04T03:23:28.730Z
1353,,,,,817522.69,49651.86,765362.51,2020-01-04T00:00:00.000Z,,cecbec325354366e6152ad0bf0c0137f,2020-01-04T03:23:28.916Z
1385,,,,,970883.22,776691.84,187695.22,2020-01-04T00:00:00.000Z,,65217110629a377e320210db50f73b28,2020-01-04T03:23:28.945Z
1307,,,,,1010652.61,397663.92,612988.69,2020-01-04T00:00:00.000Z,,5655684be83d4794f38b15205946945a,2020-01-04T03:23:28.929Z
1332,,,,,10905227.4,1145655.2,9726224.29,2020-01-04T00:00:00.000Z,,a1309ed5c668aecfdf649d7f9f7c213a,2020-01-04T03:23:28.953Z
1357,,,,,4294159.44,2918003.52,1386461.64,2020-01-04T00:00:00.000Z,,8833fd02e12cd05da237e2e50805d1a1,2020-01-04T03:23:28.942Z
1382,,,,,1776446.25,475268.17,1329092.51,2020-01-04T00:00:00.000Z,,56c04513e9a1b226440477ca6e57e849,2020-01-04T03:23:28.956Z
1407,,,,,10952618.23,614423.27,10272253,2020-01-04T00:00:00.000Z,,dc103dfea336976c3b087051a72ce726,2020-01-04T03:23:28.915Z
1293,,,,,19890308.77,8206956.08,11605641.68,2020-01-04T00:00:00.000Z,,b687ce91010b94d66016be5db60888f4,2020-01-04T03:23:28.738Z
1375,,,,,5097818.74,480755.51,4573840.99,2020-01-04T00:00:00.000Z,,f3f169cc7dbbe0422306eee9776ac92b,2020-01-04T03:23:28.893Z
1318,,,,,13588960.08,13193223.02,451699.92,2020-01-04T00:00:00.000Z,,e32fc6aa9cf4e01072780bb4db0b304c,2020-01-04T03:23:28.942Z
1297,,,,,3374929.57,413506.66,2970485.64,2020-01-04T00:00:00.000Z,,1e5b92918acfc99d6aba228c4b41e8bf,2020-01-04T03:23:28.929Z
1390,,,,,5935229.86,708833.51,5149869.54,2020-01-04T00:00:00.000Z,,2a73e3f5194cdbc9b0df13e8c7fc8f7e,2020-01-04T03:23:29.362Z
1322,,,,,,,,,,b176d4712855a3fa4aa7993ef0dfdce6,2019-10-10T20:03:57.356Z
1312,,,,,27368107.85,20690288.33,6631775.1,2020-01-04T00:00:00.000Z,,e73b522db4ef0171c2fb986d8d98262b,2020-01-04T03:23:28.937Z
1347,,,,,5616578.93,1514282.42,3706650.48,2020-01-04T00:00:00.000Z,,6777eae122953e96f32abbf8b177b979,2020-01-04T03:23:28.943Z
1337,,,,,4697327.57,2066492.47,2599444.42,2020-01-04T00:00:00.000Z,,952de56722b973df2df67c0f9050cb06,2020-01-04T03:23:28.958Z
1372,,,,,5147725.26,1542430.72,3033129.15,2020-01-04T00:00:00.000Z,,e22cda90f10970849d61f4959ded70e2,2020-01-04T03:23:28.734Z
1362,,,,,4786803.73,4111602.56,675201.17,2020-01-04T00:00:00.000Z,,ceb0aadb2a57b90c748072ff11961cfb,2020-01-04T03:23:28.735Z
1397,,,,,2452457.07,53540.13,2138681.23,2020-01-04T00:00:00.000Z,,76efbb4d8b35dcb747d33dad010a0149,2020-01-04T03:23:28.940Z
1387,,,,,3692932.67,356138.9,3187341.86,2020-01-04T00:00:00.000Z,,f2f61aa016e8316fb6a979cd89c1ee73,2020-01-04T03:23:28.732Z
1422,,,,,1238463.33,736982.53,240606.03,2020-01-04T00:00:00.000Z,,27595626120c3b766d75588a27ad9c18,2020-01-04T03:23:28.722Z
1412,,,,,35299777.93,1386209.24,33708365.51,2020-01-04T00:00:00.000Z,,3e12d44ac4f268e9747510bbe917fb2a,2020-01-04T03:23:28.892Z
1308,,,,,920741.26,21376.49,880889.25,2020-01-04T00:00:00.000Z,,4342521e236b3c2976e8b5e5206b0173,2020-01-04T03:23:28.937Z
1298,,,,,,,,,,6e3c55a773a5e340c18c3a0fae49a5aa,2019-10-10T20:03:57.333Z
1333,,,,,11738303.73,3906085.02,7676010.71,2020-01-04T00:00:00.000Z,,03006b38085b3bf3c3abc33e2439cac8,2020-01-04T03:23:28.956Z
1323,,,,,3773011.29,2434987.46,1282012.04,2020-01-04T00:00:00.000Z,,40dda78eb500a62931dde112610d85ff,2020-01-04T03:23:28.943Z
1358,,,,,727798.23,9329.08,703570.79,2020-01-04T00:00:00.000Z,,69b3bd1f4d7d5e984d8684be530a92d1,2020-01-04T03:23:28.954Z
1348,,,,,4128414.91,564631.82,3220924.98,2020-01-04T00:00:00.000Z,,13b6a0839367ec32c32f43e228896d45,2020-01-04T03:23:28.740Z
1343,,,,,3340810.2,642795.32,2670809.27,2020-01-04T00:00:00.000Z,,1a1a62368a065e08ca440e16b80c99ee,2020-01-04T03:23:28.737Z
1368,,,,,5964308.99,2663455.38,3341706.39,2020-01-04T00:00:00.000Z,,48eeea0b66ca82ff9ba839d0694f1ff1,2020-01-04T03:23:28.935Z
1395,,,,,1146338.86,516406.83,493589.53,2020-01-04T00:00:00.000Z,,c4d217abbb3572b2a753723bed695213,2020-01-04T03:23:28.930Z
1405,,,,,4796806.64,1194355.67,3609871.51,2020-01-04T00:00:00.000Z,,5ea1464544f081dc88c97b7aa1f93ed3,2020-01-04T03:23:28.722Z
1420,,,,,5581544.94,561438.53,4781884.9,2020-01-04T00:00:00.000Z,,10442771508d17d312c36662435c6970,2020-01-04T03:23:28.734Z
1430,,,,,734518.39,202508.57,295399.76,2020-01-04T00:00:00.000Z,,e7df07cfdc872a3bddbf03dec75c9b66,2020-01-04T03:23:28.925Z
1378,,,,,27714640.97,9528257.44,18283828.51,2020-01-04T00:00:00.000Z,,966908c0030186749710a5496d7e1af1,2020-01-04T03:23:28.734Z
1388,,,,,11677354.07,457515.74,11164447.48,2020-01-04T00:00:00.000Z,,20133580b24576097f0796d6fddce84d,2020-01-04T03:23:28.933Z
1403,,,,,43824367.31,34013640.27,9715546.9,2020-01-04T00:00:00.000Z,,f44f95db436d2d3cf8c479e03207aef5,2020-01-04T03:23:28.912Z
1413,,,,,4906653.82,415565.69,4321699.99,2020-01-04T00:00:00.000Z,,8cb94d9e94f2b8962512f3af6d329ece,2020-01-04T03:23:28.946Z
1428,,,,,1788583.65,44429.26,1744454.58,2020-01-04T00:00:00.000Z,,3ae43eae1ce98a347e780fecb82e6df6,2020-01-04T03:23:28.893Z
1438,,,,,2745985.95,1232950.3,1488362.08,2020-01-04T00:00:00.000Z,,7f4a3f5058808c2429c398ce237a0c03,2020-01-04T03:23:28.738Z
1400,,,,,2225170.96,85726.8,2165746.79,2020-01-04T00:00:00.000Z,,6a5c9033d0ee2a43611f82907c29ba4c,2020-01-04T03:23:28.925Z
1274,,,,,1525086.7,1060865.15,587622.94,2020-01-04T00:00:00.000Z,,0aec335d738cd17a6fff158f098a938c,2020-01-04T03:23:28.733Z
1425,,,,,27960004.15,3632120.14,23910060.19,2020-01-04T00:00:00.000Z,,1e730f4309795aef38d10aa67820a4ed,2020-01-04T03:23:28.950Z
1299,,,,,20544924.45,13046343.17,7178637.83,2020-01-04T00:00:00.000Z,,6f6047c14c8784d8dda230f4b48f26b9,2020-01-04T03:23:28.919Z
1383,,,,,6689724.02,777194.42,5803267.17,2020-01-04T00:00:00.000Z,,a460d7701cbf5625de5c5a6d48a4f2fd,2020-01-04T03:23:28.927Z
1324,,,,,10907868.92,10902315.84,-40533.34,2020-01-04T00:00:00.000Z,,3af0df4e00e1ea55be399cea0571e31a,2020-01-04T03:23:28.946Z
1349,,,,,2838615.94,94167.46,2564548.23,2020-01-04T00:00:00.000Z,,aa1cbfc1563068eef0f7de4cbcc93073,2020-01-04T03:23:28.949Z
1408,,,,,7698001.21,386876.08,7231737.88,2020-01-04T00:00:00.000Z,,6360169daa75aeb6a1b2f591021d6aa5,2020-01-04T03:23:28.740Z
1374,,,,,4621871.5,30085.44,4645199.75,2020-01-04T00:00:00.000Z,,15d0f0a8550142a63a6e284b3f02f778,2020-01-04T03:23:28.739Z
1433,,,,,3579584.09,2860877.17,752887.3,2020-01-04T00:00:00.000Z,,a1193283b2ba26637d517d69c69059bd,2020-01-04T03:23:28.722Z
1399,,,,,2343447.82,1538493.06,804954.76,2020-01-04T00:00:00.000Z,,f40ec86969d2608893090667e22189fa,2020-01-04T03:23:28.957Z
1269,,,,,1737569.4,898066.5,810242.78,2020-01-04T00:00:00.000Z,,ba7b7ebc3f006af80098b4d383ef37b2,2020-01-04T03:23:28.734Z
1281,,,,,4736115,429615.84,4190877.14,2020-01-04T00:00:00.000Z,,a5e52d5a7f82dca309c6514e0a4c1a42,2020-01-04T03:23:28.739Z
1294,,,,,10347269.34,4079425.04,5840828.95,2020-01-04T00:00:00.000Z,,6eacdd799aac5670acc90b053459860d,2020-01-04T03:23:28.928Z
1306,,,,,106261560.28,32644798.12,72246572.61,2020-01-04T00:00:00.000Z,,3b0736e4ed611b02a93453435308b3e8,2020-01-04T03:23:28.926Z
1319,,,,,5134082.94,329668.71,4780114.36,2020-01-04T00:00:00.000Z,,26c94ad8b93455ba2fa8eb42b64f1c70,2020-01-04T03:23:28.948Z
1331,,,,,3700015.29,1268492.29,2364988.67,2020-01-04T00:00:00.000Z,,0d47e9999a81b1d6ccf98f823b75798b,2020-01-04T03:23:28.952Z
1344,,,,,18565928.96,527841.99,17408770.89,2020-01-04T00:00:00.000Z,,aa73998ac1b795fc7252319b042db056,2020-01-04T03:23:28.949Z
1356,,,,,39711803.79,24308976.34,15313037.01,2020-01-04T00:00:00.000Z,,283410390c72a81a4277d7856a18b731,2020-01-04T03:23:28.940Z
1369,,,,,19743137.17,11692409.39,8072012.75,2020-01-04T00:00:00.000Z,,e1d150f1294a239efff1265fb095cd4f,2020-01-04T03:23:28.730Z
1381,,,,,14683135.02,2171960.59,11970103.49,2020-01-04T00:00:00.000Z,,af525e9faf80775036c0e568298ae9a6,2020-01-04T03:23:28.735Z
1394,,,,,1414196.5,35419.81,1376975.39,2020-01-04T00:00:00.000Z,,9db7bc8f488b623edcea73ddf8408f71,2020-01-04T03:23:28.722Z
1406,,,,,6233212.7,785167.68,5406707.43,2020-01-04T00:00:00.000Z,,8029cac7ef3201c9e5d94cf37787dd65,2020-01-04T03:23:28.948Z
1276,,,,,5242416.68,546984.2,4587872.59,2020-01-04T00:00:00.000Z,,8b196e7a7fdce278c0ad23f8ef644e20,2020-01-04T03:23:28.738Z
1431,,,,,1143690.22,71012.95,965171.71,2020-01-04T00:00:00.000Z,,77f31b1fdecec3311bdfe50c87da8676,2020-01-04T03:23:28.739Z
1301,,,,,1968329.67,18254.17,1953360.86,2020-01-04T00:00:00.000Z,,237fd71421aa64e5daba483aaad0728a,2020-01-04T03:23:28.916Z
1326,,,,,2191132.01,26462.73,2159308.27,2020-01-04T00:00:00.000Z,,582da4a68243e25ea04e02aa13d8fa52,2020-01-04T03:23:28.945Z
1264,,,,,3033110.28,882780.99,2135164.26,2020-01-04T00:00:00.000Z,,ee5ee0e4e35e7f3fad91cd32b84add80,2020-01-04T03:23:28.731Z
1410,,,,,15255670.18,8294263.24,6945591.61,2020-01-04T00:00:00.000Z,,f0a8ca9ea1da7cc778ed77e194c2927c,2020-01-04T03:23:28.934Z
1289,,,,,785818.09,84066.71,685083.81,2020-01-04T00:00:00.000Z,,607654441b98f1378fa918dfc6b28e6a,2020-01-04T03:23:28.925Z
1435,,,,,6487026.47,6507378.72,0,2020-01-04T00:00:00.000Z,,c93791ee3e39977b1d9f3c7ebfdeb84d,2020-01-04T03:23:28.914Z
1314,,,,,2605294.29,1170005.58,1430613.75,2020-01-04T00:00:00.000Z,,842db249f3d059565f86c1f84fcc6a46,2020-01-04T03:23:28.939Z
1393,,,,,22990447.07,9766980.43,12715981.97,2020-01-04T00:00:00.000Z,,2d9c68d4465a65ecfe9892ca3ccaf621,2020-01-04T03:23:28.918Z
1339,,,,,,,,,,42f9110eeb7412f0362fbc73567ef0a3,2019-10-10T20:03:57.415Z
1418,,,,,4620806.54,556297.96,4110565.71,2020-01-04T00:00:00.000Z,,442d8c5ffde45cbb2e7a01fd29a85bf4,2020-01-04T03:23:28.733Z
1364,,,,,,,,,,b94f5be554caae54588af88687f32810,2019-10-10T20:03:57.404Z
1254,,,,,,,,,,257f217e4f9e0a10e865e99c91f09ade,2019-12-09T15:26:08.628Z
1389,,,,,708827.27,276994.7,460813.63,2020-01-04T00:00:00.000Z,,f9069687250009231e6965ee92784727,2020-01-04T03:23:28.931Z
1279,,,,,48334834.63,3905669.96,43752362,2020-01-04T00:00:00.000Z,,e85ae5941c29d860084f54ab812b68a6,2020-01-04T03:23:28.738Z
1271,,,,,1868757.98,1691960.54,176797.44,2020-01-04T00:00:00.000Z,,6bc344e812985fd065d80eebcced2804,2020-01-04T03:23:28.954Z
1304,,,,,,,,,,9c1816e2f33340b08f383485f796f809,2019-10-10T20:03:57.333Z
1296,,,,,41182922.07,10759369.68,29436671.56,2020-01-04T00:00:00.000Z,,3bfb463af59a9c971ac0851821ceaf76,2020-01-04T03:23:28.740Z
1329,,,,,5652343.85,1460174.48,4205941.58,2020-01-04T00:00:00.000Z,,026702a41d4566403315e473a4e1891c,2020-01-04T03:23:28.949Z
1321,,,,,,,,,,ea08bbfeadb829b96f9fc9fb7aada770,2019-10-10T20:03:57.413Z
1346,,,,,,,,,,883808520445a12603402341c128f627,2019-10-10T20:03:57.411Z
1354,,,,,185489007.3,152443939.55,33092101.88,2020-01-04T00:00:00.000Z,,71d2a79918553cc25ad2308956821206,2020-01-04T03:23:28.732Z
1371,,,,,1160382.95,164540.76,988792.94,2020-01-04T00:00:00.000Z,,16ab8db9d19a77604c054b4cea2268f8,2020-01-04T03:23:28.952Z
1396,,,,,4853317.12,681327.02,3553040.63,2020-01-04T00:00:00.000Z,,4480ad62fbe5f9d8606b58ca4d79e259,2020-01-04T03:23:28.723Z
1415,,,,,,,,,,fd170037de3918aa63fdde031a8221bb,2019-10-10T20:03:57.481Z
1421,,,,,,,,,,0122ad9258f1fb7a3827172596b1528b,2019-10-10T20:03:57.414Z
1373,,,,,2982075.51,45727.81,2934671.07,2020-01-04T00:00:00.000Z,,d95bffe922baab5b1c634f91052b8188,2020-01-04T03:23:28.919Z
1419,,,,,26435703.2,3849174.16,22397523.78,2020-01-04T00:00:00.000Z,,746b41d0640e506d6c1c58c8436a4df0,2020-01-04T03:23:28.934Z
1398,,,,,5456042.93,402109.28,5117212.83,2020-01-04T00:00:00.000Z,,fe5085bac59c8e7816d00aaf0ea2e838,2020-01-04T03:23:28.721Z
1432,,,,,2158899.02,981932.61,1165648.92,2020-01-04T00:00:00.000Z,,ad67e84bca859e38cd1df952947c3aee,2020-01-04T03:23:28.731Z
1423,,,,,3266024.79,337529.94,2783374.44,2020-01-04T00:00:00.000Z,,35f6fec71f49fee045acf69f6e0cd4eb,2020-01-04T03:23:28.739Z
1259,,,,,,,,,,f6c4fb6a85d6e4c689300671dd7edbfe,2019-12-09T15:26:08.633Z
1284,,,,,4064691.72,950005.26,3086906.66,2020-01-04T00:00:00.000Z,,649ce80ab0499ad92578cb48bc83a671,2020-01-04T03:23:28.912Z
1429,,,,,3547202.78,394971.87,3138024.77,2020-01-04T00:00:00.000Z,,4e63d1b20c844d5dd11c7053e9e30171,2020-01-04T03:23:28.958Z
1309,,,,,4844695.58,1257343.05,1891051.87,2020-01-04T00:00:00.000Z,,d6dcc0ce3c799a19de7ced6937b9797b,2020-01-04T03:23:28.931Z
1379,,,,,433651817,101320637.9,329884828.43,2020-01-04T00:00:00.000Z,,79dcbea7215da9095b88f42ed1577671,2020-01-04T03:23:28.733Z
1334,,,,,39700101.17,3878032.57,35024447.18,2020-01-04T00:00:00.000Z,,d10f215aca89bf04b0d553e21d6896c6,2020-01-04T03:23:28.957Z
1404,,,,,5913137.1,752305.98,5103846.86,2020-01-04T00:00:00.000Z,,9fba23ce6a3d9a761d54d0749d53ff64,2020-01-04T03:23:28.947Z
1359,,,,,,,,,,0b29efe5aeb7e787cfbdf6058f548249,2019-10-10T20:03:57.406Z
1286,,,,,2083481.55,147935.45,1935546.1,2020-01-04T00:00:00.000Z,,f0cc75f1e447a778a320c0900e99029a,2020-01-04T03:23:28.735Z
1384,,,,,6425209.53,2629470,3613225.53,2020-01-04T00:00:00.000Z,,7862d9dd3af8872ce03b4d28b879a00b,2020-01-04T03:23:28.946Z
1311,,,,,36909135.59,26066940.79,10849669.36,2020-01-04T00:00:00.000Z,,a4d1bab85ebd0a97ac7c98446dc53dbc,2020-01-04T03:23:28.935Z
1409,,,,,4284113.3,3010762.41,1240215.47,2020-01-04T00:00:00.000Z,,e4b83bd5752ebfe1932841258df4db0d,2020-01-04T03:23:28.941Z
1336,,,,,2474138.67,11080.45,2431124.77,2020-01-04T00:00:00.000Z,,610a2ab53c911a8399307301745dfee0,2020-01-04T03:23:28.951Z
1291,,,,,,,,,,45d910816cd318d6dfad7b470646fcb3,2019-10-10T20:03:57.335Z
1361,,,,,66734226.22,7138998.7,54761534.37,2020-01-04T00:00:00.000Z,,f3f2f7d04c72a26e103b8745805e3850,2020-01-04T03:23:28.738Z
1316,,,,,10798817.35,6382892.52,4291133.67,2020-01-04T00:00:00.000Z,,7e7367387928aaa2f6924a308766e2f4,2020-01-04T03:23:28.941Z
