Disaster,State,County,City,Zip Code,Valid Registrations,Total Inspected,Inspected with No Damage,Total with Moderate Damage,Total with Major Damage,Total with Substantial Damage,Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants
4407,CA,Los Angeles (County),CALABASAS,91367,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),CALABASAS HILLS,91301,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),CANOGA PARK,91303,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),CANOGA PARK,91304,4,3,3,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),CARSON,90746,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),CASTAIC,91384,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),CHATSWORTH,91311,3,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),COMPTON,90220,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),ENCINO,91316,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),GLENDALE,91202,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),GLENDALE,91204,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),GLENDALE,91208,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),GRANADA HILLS,91344,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),HAWTHORNE,90250,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),INGLEWOOD,90302,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),INGLEWOOD,90303,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),LANCASTER,93536,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
