address,IHP Amount for Owners,Owners Approved,Owners <$10k,Owners $10-25k,Owners $25k - Max,Owners Max,IHP Amount for Renters,Renters Approved,Renters $25k - Max,Renters Max,incidentType,fyDeclared
"4157, IL, Washington (County)",28880,3.0,1.0,2.0,0.0,0.0,28967,3.0,0.0,0.0,Tornado,2014.0
"4157, IL, Wayne (County)",60043,3.0,1.0,1.0,1.0,1.0,0,0,0,0,Tornado,2014.0
"4157, IL, Will (County)",14642,2.0,1.0,1.0,0.0,0.0,8754,1.0,0.0,0.0,Tornado,2014.0
"4157, IL, Woodford (County)",0,0.0,0.0,0.0,0.0,0.0,4124,2.0,0.0,0.0,Tornado,2014.0
"4168, WA, Sauk-Suiattle Indian Reservation",15008,4.0,4.0,0.0,0.0,0.0,5349,2.0,0.0,0.0,Mud/Landslide,2014.0
"4168, WA, Snohomish (County)",1409700,372.0,360.0,2.0,10.0,9.0,659681,216.0,0.0,0.0,Mud/Landslide,2014.0
"4174, AR, Faulkner (County)",2102875,147.0,85.0,12.0,50.0,49.0,550620,120.0,1.0,0.0,Severe Storm(s),2014.0
"4174, AR, Pulaski (County)",113776,13.0,10.0,1.0,2.0,2.0,3460,3.0,0.0,0.0,Severe Storm(s),2014.0
"4174, AR, Randolph (County)",67180,23.0,22.0,0.0,1.0,0.0,25162,7.0,0.0,0.0,Severe Storm(s),2014.0
"4174, AR, White (County)",121409,20.0,17.0,1.0,2.0,2.0,40652,7.0,0.0,0.0,Severe Storm(s),2014.0
"4175, MS, Itawamba (County)",451051,34.0,22.0,2.0,10.0,9.0,38932,9.0,0.0,0.0,Severe Storm(s),2014.0
"4175, MS, Jones (County)",254838,42.0,36.0,2.0,4.0,4.0,53043,14.0,0.0,0.0,Severe Storm(s),2014.0
"4175, MS, Leake (County)",120147,8.0,5.0,0.0,3.0,3.0,17120,1.0,0.0,0.0,Severe Storm(s),2014.0
"4175, MS, Lee (County)",346659,73.0,64.0,5.0,4.0,3.0,411571,145.0,2.0,2.0,Severe Storm(s),2014.0
"4175, MS, Lowndes (County)",261753,90.0,84.0,5.0,1.0,1.0,120372,41.0,0.0,0.0,Severe Storm(s),2014.0
"4175, MS, Madison (County)",28555,6.0,6.0,0.0,0.0,0.0,4710,2.0,0.0,0.0,Severe Storm(s),2014.0
"4175, MS, Montgomery (County)",36894,2.0,1.0,0.0,1.0,1.0,0,0,0,0,Severe Storm(s),2014.0
"4175, MS, Rankin (County)",166819,35.0,32.0,1.0,2.0,2.0,181773,44.0,0.0,0.0,Severe Storm(s),2014.0
"4175, MS, Simpson (County)",13546,7.0,7.0,0.0,0.0,0.0,2924,1.0,0.0,0.0,Severe Storm(s),2014.0
"4175, MS, Warren (County)",31121,7.0,6.0,1.0,0.0,0.0,18181,5.0,0.0,0.0,Severe Storm(s),2014.0
"4175, MS, Wayne (County)",345936,85.0,78.0,2.0,5.0,4.0,23242,8.0,0.0,0.0,Severe Storm(s),2014.0
"4175, MS, Winston (County)",2170655,150.0,82.0,16.0,52.0,44.0,769083,138.0,0.0,0.0,Severe Storm(s),2014.0
"4176, AL, Baldwin (County)",7719237,1547.0,1311.0,199.0,37.0,13.0,1834786,538.0,1.0,1.0,Severe Storm(s),2014.0
"4176, AL, Blount (County)",155485,19.0,14.0,3.0,2.0,2.0,14633,8.0,0.0,0.0,Severe Storm(s),2014.0
"4176, AL, DeKalb (County)",69836,20.0,19.0,0.0,1.0,1.0,23146,7.0,0.0,0.0,Severe Storm(s),2014.0
"4176, AL, Etowah (County)",463864,44.0,30.0,4.0,10.0,9.0,41550,15.0,0.0,0.0,Severe Storm(s),2014.0
"4176, AL, Jefferson (County)",966584,234.0,211.0,13.0,10.0,7.0,434157,209.0,0.0,0.0,Severe Storm(s),2014.0
"4176, AL, Lee (County)",267780,41.0,34.0,2.0,5.0,4.0,65241,12.0,0.0,0.0,Severe Storm(s),2014.0
"4176, AL, Limestone (County)",841909,138.0,114.0,10.0,14.0,9.0,709013,163.0,1.0,1.0,Severe Storm(s),2014.0
"4176, AL, Mobile (County)",4747685,2077.0,2029.0,46.0,2.0,0.0,3769759,2255.0,0.0,0.0,Severe Storm(s),2014.0
"4176, AL, Tuscaloosa (County)",357136,52.0,41.0,7.0,4.0,4.0,22828,10.0,0.0,0.0,Severe Storm(s),2014.0
"4177, FL, Escambia (County)",19522898,2812.0,2080.0,589.0,143.0,70.0,6718585,2128.0,1.0,1.0,Severe Storm(s),2014.0
"4177, FL, Jackson (County)",495123,158.0,150.0,6.0,2.0,1.0,45278,29.0,0.0,0.0,Severe Storm(s),2014.0
"4177, FL, Okaloosa (County)",1639397,418.0,365.0,51.0,2.0,0.0,539030,204.0,0.0,0.0,Severe Storm(s),2014.0
"4177, FL, Santa Rosa (County)",4503614,827.0,671.0,139.0,17.0,4.0,1001584,314.0,0.0,0.0,Severe Storm(s),2014.0
"4177, FL, Walton (County)",544882,168.0,156.0,11.0,1.0,0.0,101794,37.0,0.0,0.0,Severe Storm(s),2014.0
"4193, CA, Napa (County)",9229447,2886.0,2706.0,144.0,36.0,21.0,756055,556.0,1.0,0.0,Earthquake,2014.0
"4193, CA, Solano (County)",1131213,424.0,409.0,14.0,1.0,0.0,271128,399.0,0.0,0.0,Earthquake,2014.0
"4195, MI, Macomb (County)",10493864,4481.0,4386.0,87.0,8.0,3.0,2166798,1264.0,0.0,0.0,Flood,2014.0
"4195, MI, Oakland (County)",19067488,8892.0,8803.0,86.0,3.0,1.0,1760133,1241.0,0.0,0.0,Flood,2014.0
"4195, MI, Wayne (County)",91869803,37534.0,36799.0,717.0,18.0,3.0,31202236,19994.0,1.0,0.0,Flood,2014.0
"4217, KY, Bath (County)",50871,15.0,13.0,2.0,0.0,0.0,265,1.0,0.0,0.0,Flood,2015.0
"4217, KY, Bourbon (County)",268617,41.0,30.0,10.0,1.0,0.0,63264,12.0,0.0,0.0,Flood,2015.0
"4217, KY, Carter (County)",337513,48.0,35.0,11.0,2.0,1.0,50968,8.0,0.0,0.0,Flood,2015.0
"4217, KY, Elliott (County)",65348,20.0,19.0,1.0,0.0,0.0,0,0.0,0.0,0.0,Flood,2015.0
"4217, KY, Franklin (County)",83554,29.0,27.0,2.0,0.0,0.0,5519,4.0,0.0,0.0,Flood,2015.0
"4217, KY, Jefferson (County)",1488610,465.0,438.0,27.0,0.0,0.0,888642,268.0,0.0,0.0,Flood,2015.0
"4217, KY, Lawrence (County)",317953,59.0,51.0,5.0,3.0,1.0,4806,2.0,0.0,0.0,Flood,2015.0
"4217, KY, Madison (County)",114748,27.0,23.0,4.0,0.0,0.0,3233,5.0,0.0,0.0,Flood,2015.0
"4217, KY, Rowan (County)",202290,36.0,28.0,7.0,1.0,0.0,62202,27.0,0.0,0.0,Flood,2015.0
"4217, KY, Scott (County)",71758,17.0,15.0,2.0,0.0,0.0,3163,2.0,0.0,0.0,Flood,2015.0
"4222, OK, Adair (County)",32637,24.0,24.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Atoka (County)",317502,85.0,79.0,3.0,3.0,1.0,29830,9.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Beckham (County)",333562,51.0,38.0,11.0,2.0,1.0,11469,4.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Bryan (County)",507574,103.0,90.0,9.0,4.0,4.0,63612,24.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Caddo (County)",121292,36.0,33.0,3.0,0.0,0.0,3636,2.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Canadian (County)",75242,30.0,29.0,1.0,0.0,0.0,4527,4.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Carter (County)",1220186,280.0,254.0,19.0,7.0,4.0,80859,24.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Cherokee (County)",17028,7.0,6.0,1.0,0.0,0.0,0,0,0,0,Severe Storm(s),2015.0
"4222, OK, Choctaw (County)",108858,14.0,11.0,1.0,2.0,2.0,9622,3.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Cleveland (County)",3030002,1057.0,992.0,54.0,11.0,4.0,229091,81.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Coal (County)",12989,4.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Comanche (County)",2170011,234.0,154.0,51.0,29.0,14.0,189110,64.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Cotton (County)",97624,22.0,20.0,2.0,0.0,0.0,11727,3.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Delaware (County)",12250,3.0,3.0,0.0,0.0,0.0,0,0,0,0,Severe Storm(s),2015.0
"4222, OK, Garvin (County)",39146,13.0,12.0,1.0,0.0,0.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Grady (County)",853273,156.0,130.0,15.0,11.0,8.0,223411,44.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Hughes (County)",60127,30.0,29.0,1.0,0.0,0.0,1602,1.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Jefferson (County)",117122,22.0,18.0,4.0,0.0,0.0,4024,2.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Johnston (County)",384963,67.0,54.0,10.0,3.0,2.0,61950,12.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Kiowa (County)",164212,42.0,37.0,5.0,0.0,0.0,3803,3.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Latimer (County)",25286,11.0,11.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Le Flore (County)",357648,52.0,40.0,9.0,3.0,1.0,14298,6.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Lincoln (County)",18274,9.0,8.0,1.0,0.0,0.0,0,0,0,0,Severe Storm(s),2015.0
"4222, OK, Logan (County)",36685,9.0,8.0,0.0,1.0,1.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Love (County)",160976,34.0,28.0,5.0,1.0,1.0,11297,1.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Marshall (County)",547999,79.0,61.0,12.0,6.0,3.0,1200,2.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Mayes (County)",49689,12.0,11.0,1.0,0.0,0.0,2533,1.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, McClain (County)",224012,75.0,69.0,6.0,0.0,0.0,40860,12.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, McCurtain (County)",148792,35.0,31.0,4.0,0.0,0.0,920,1.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, McIntosh (County)",71571,48.0,47.0,1.0,0.0,0.0,3478,2.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Murray (County)",169794,26.0,21.0,3.0,2.0,1.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Okfuskee (County)",224954,72.0,67.0,5.0,0.0,0.0,267,1.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Oklahoma (County)",2539285,425.0,337.0,71.0,17.0,11.0,944563,311.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Okmulgee (County)",232795,70.0,64.0,5.0,1.0,0.0,1252,1.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Ottawa (County)",11705,3.0,2.0,1.0,0.0,0.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Pittsburg (County)",171958,71.0,68.0,3.0,0.0,0.0,7261,6.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Pontotoc (County)",169484,74.0,70.0,4.0,0.0,0.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Pottawatomie (County)",818231,298.0,285.0,9.0,4.0,3.0,13906,8.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Pushmataha (County)",74209,17.0,15.0,2.0,0.0,0.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Rogers (County)",19930,6.0,5.0,1.0,0.0,0.0,9118,4.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Seminole (County)",381737,152.0,146.0,6.0,0.0,0.0,32219,12.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Stephens (County)",54085,23.0,22.0,1.0,0.0,0.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Tillman (County)",73445,15.0,12.0,3.0,0.0,0.0,530,1.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Tulsa (County)",61202,24.0,23.0,1.0,0.0,0.0,19529,5.0,0.0,0.0,Severe Storm(s),2015.0
"4222, OK, Wagoner (County)",173763,30.0,27.0,1.0,2.0,1.0,23815,6.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Angelina (County)",426813,74.0,60.0,12.0,2.0,0.0,8190,9.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Bastrop (County)",1047108,186.0,147.0,34.0,5.0,2.0,57423,22.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Blanco (County)",512748,59.0,43.0,8.0,8.0,5.0,57383,12.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Bowie (County)",303581,33.0,22.0,8.0,3.0,1.0,8199,2.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Brazoria (County)",350016,62.0,48.0,12.0,2.0,1.0,26983,8.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Caldwell (County)",965465,120.0,82.0,30.0,8.0,1.0,238273,52.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Cherokee (County)",259802,70.0,65.0,3.0,2.0,2.0,8788,9.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Cooke (County)",165044,57.0,55.0,2.0,0.0,0.0,8830,5.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Dallas (County)",1430943,279.0,241.0,36.0,2.0,2.0,420868,92.0,1.0,0.0,Severe Storm(s),2015.0
"4223, TX, Denton (County)",337935,81.0,75.0,2.0,4.0,2.0,39386,16.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Eastland (County)",52152,11.0,10.0,0.0,1.0,1.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Ellis (County)",180214,37.0,31.0,6.0,0.0,0.0,9611,2.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Erath (County)",106791,54.0,54.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Fannin (County)",156185,42.0,39.0,2.0,1.0,1.0,2033,3.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Fayette (County)",50612,11.0,8.0,3.0,0.0,0.0,830,1.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Fort Bend (County)",1192548,191.0,148.0,40.0,3.0,0.0,216670,64.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Frio (County)",91911,12.0,8.0,3.0,1.0,0.0,14469,2.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Gaines (County)",224778,33.0,25.0,6.0,2.0,1.0,5389,3.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Grayson (County)",926281,200.0,177.0,16.0,7.0,4.0,25394,13.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Guadalupe (County)",277886,37.0,27.0,7.0,3.0,3.0,58101,18.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Harris (County)",15980402,3015.0,2485.0,484.0,46.0,16.0,7973702,2098.0,5.0,2.0,Severe Storm(s),2015.0
"4223, TX, Harrison (County)",148337,39.0,38.0,0.0,1.0,1.0,28526,7.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Hays (County)",5589835,492.0,286.0,121.0,85.0,54.0,2904573,609.0,3.0,0.0,Severe Storm(s),2015.0
"4223, TX, Henderson (County)",420864,113.0,103.0,10.0,0.0,0.0,20754,6.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Hidalgo (County)",2500594,1245.0,1217.0,25.0,3.0,2.0,276036,118.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Hood (County)",89169,22.0,20.0,2.0,0.0,0.0,13484,5.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Jim Wells (County)",1026195,465.0,454.0,9.0,2.0,1.0,60947,47.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Johnson (County)",304470,61.0,52.0,8.0,1.0,1.0,27203,6.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Liberty (County)",793547,271.0,256.0,14.0,1.0,1.0,173399,81.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Madison (County)",68029,9.0,6.0,3.0,0.0,0.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Milam (County)",59702,23.0,23.0,0.0,0.0,0.0,11454,6.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Montague (County)",455011,64.0,50.0,10.0,4.0,3.0,20729,5.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Montgomery (County)",221631,45.0,41.0,4.0,0.0,0.0,7824,4.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Navarro (County)",416321,90.0,75.0,15.0,0.0,0.0,26808,15.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Nueces (County)",2207355,815.0,789.0,25.0,1.0,0.0,494351,186.0,0.0,0.0,Severe Storm(s),2015.0
"4223, TX, Red River (County)",34333,4.0,2.0,2.0,0.0,0.0,0,0,0,0,Severe Storm(s),2015.0
