Disaster,State,County,City,Zip Code,Valid Registrations,Average FEMA Inspected Damage,Total Inspected,Total Damage,No FEMA Inspected Damage,"FEMA Inspected Damage between $1 and $10,000","FEMA Inspected Damage between $10,001 and $20,000","FEMA Inspected Damage between $20,001 and $30,000","FEMA Inspected Damage > $30,000",Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants
4382,CA,Shasta (County),LAKEHEAD,96051,48,"$102,512.77 ",16,"$1,640,204.31 ",4,3,0,1,8,12,"$315,023.33 ","$257,881 ","$15,342 ","$41,801 ",4,0,8,0
4382,CA,Shasta (County),MILLVILLE,96062,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Shasta (County),MONTGOMERY CREEK,96065,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Shasta (County),OLD STATION,96071,3, $-   ,2, $-   ,2,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Shasta (County),ONO,96047,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Shasta (County),PALO CEDRO,96073,5, $-   ,2, $-   ,2,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Shasta (County),REDDING,96001,727,"$65,681.83 ",176,"$11,560,002.14 ",74,6,0,14,82,71,"$2,085,564.03 ","$1,605,375 ","$122,229 ","$357,960 ",20,1,50,0
4382,CA,Shasta (County),REDDING,96002,83,$14.62 ,22,$321.54 ,21,1,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Shasta (County),REDDING,96003,537,"$37,646.42 ",80,"$3,011,713.58 ",59,6,0,0,15,9,"$312,849.33 ","$263,840 ","$13,138 ","$35,871 ",1,0,8,0
4382,CA,Shasta (County),REDDING,96099,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Shasta (County),ROUND MOUNTAIN,96008,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Shasta (County),SAN JUAN CAPISTRANO,92675,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
