IHP Amount for Owners,Owners Approved,Owners <$10k,Owners $10-25k,Owners $25k - Max,Owners Max,IHP Amount for Renters,Renters Approved,Renters $25k - Max,Renters Max
15008.0,4.0,4.0,0.0,0.0,0.0,5349.0,2.0,0.0,0.0
1409700.0,372.0,360.0,2.0,10.0,9.0,659681.0,216.0,0.0,0.0
2102875.0,147.0,85.0,12.0,50.0,49.0,550620.0,120.0,1.0,0.0
113776.0,13.0,10.0,1.0,2.0,2.0,3460.0,3.0,0.0,0.0
67180.0,23.0,22.0,0.0,1.0,0.0,25162.0,7.0,0.0,0.0
121409.0,20.0,17.0,1.0,2.0,2.0,40652.0,7.0,0.0,0.0
451051.0,34.0,22.0,2.0,10.0,9.0,38932.0,9.0,0.0,0.0
254838.0,42.0,36.0,2.0,4.0,4.0,53043.0,14.0,0.0,0.0
120147.0,8.0,5.0,0.0,3.0,3.0,17120.0,1.0,0.0,0.0
346659.0,73.0,64.0,5.0,4.0,3.0,411571.0,145.0,2.0,2.0
261753.0,90.0,84.0,5.0,1.0,1.0,120372.0,41.0,0.0,0.0
28555.0,6.0,6.0,0.0,0.0,0.0,4710.0,2.0,0.0,0.0
36894.0,2.0,1.0,0.0,1.0,1.0,0,0,0,0
166819.0,35.0,32.0,1.0,2.0,2.0,181773.0,44.0,0.0,0.0
13546.0,7.0,7.0,0.0,0.0,0.0,2924.0,1.0,0.0,0.0
31121.0,7.0,6.0,1.0,0.0,0.0,18181.0,5.0,0.0,0.0
345936.0,85.0,78.0,2.0,5.0,4.0,23242.0,8.0,0.0,0.0
2170655.0,150.0,82.0,16.0,52.0,44.0,769083.0,138.0,0.0,0.0
7719237.0,1547.0,1311.0,199.0,37.0,13.0,1834786.0,538.0,1.0,1.0
155485.0,19.0,14.0,3.0,2.0,2.0,14633.0,8.0,0.0,0.0
69836.0,20.0,19.0,0.0,1.0,1.0,23146.0,7.0,0.0,0.0
463864.0,44.0,30.0,4.0,10.0,9.0,41550.0,15.0,0.0,0.0
966584.0,234.0,211.0,13.0,10.0,7.0,434157.0,209.0,0.0,0.0
267780.0,41.0,34.0,2.0,5.0,4.0,65241.0,12.0,0.0,0.0
841909.0,138.0,114.0,10.0,14.0,9.0,709013.0,163.0,1.0,1.0
4747685.0,2077.0,2029.0,46.0,2.0,0.0,3769759.0,2255.0,0.0,0.0
357136.0,52.0,41.0,7.0,4.0,4.0,22828.0,10.0,0.0,0.0
19522898.0,2812.0,2080.0,589.0,143.0,70.0,6718585.0,2128.0,1.0,1.0
495123.0,158.0,150.0,6.0,2.0,1.0,45278.0,29.0,0.0,0.0
1639397.0,418.0,365.0,51.0,2.0,0.0,539030.0,204.0,0.0,0.0
4503614.0,827.0,671.0,139.0,17.0,4.0,1001584.0,314.0,0.0,0.0
544882.0,168.0,156.0,11.0,1.0,0.0,101794.0,37.0,0.0,0.0
9229447.0,2886.0,2706.0,144.0,36.0,21.0,756055.0,556.0,1.0,0.0
1131213.0,424.0,409.0,14.0,1.0,0.0,271128.0,399.0,0.0,0.0
10493864.0,4481.0,4386.0,87.0,8.0,3.0,2166798.0,1264.0,0.0,0.0
19067488.0,8892.0,8803.0,86.0,3.0,1.0,1760133.0,1241.0,0.0,0.0
91869803.0,37534.0,36799.0,717.0,18.0,3.0,31202236.0,19994.0,1.0,0.0
50871.0,15.0,13.0,2.0,0.0,0.0,265.0,1.0,0.0,0.0
268617.0,41.0,30.0,10.0,1.0,0.0,63264.0,12.0,0.0,0.0
337513.0,48.0,35.0,11.0,2.0,1.0,50968.0,8.0,0.0,0.0
65348.0,20.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83554.0,29.0,27.0,2.0,0.0,0.0,5519.0,4.0,0.0,0.0
1488610.0,465.0,438.0,27.0,0.0,0.0,888642.0,268.0,0.0,0.0
317953.0,59.0,51.0,5.0,3.0,1.0,4806.0,2.0,0.0,0.0
114748.0,27.0,23.0,4.0,0.0,0.0,3233.0,5.0,0.0,0.0
202290.0,36.0,28.0,7.0,1.0,0.0,62202.0,27.0,0.0,0.0
71758.0,17.0,15.0,2.0,0.0,0.0,3163.0,2.0,0.0,0.0
32637.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317502.0,85.0,79.0,3.0,3.0,1.0,29830.0,9.0,0.0,0.0
333562.0,51.0,38.0,11.0,2.0,1.0,11469.0,4.0,0.0,0.0
507574.0,103.0,90.0,9.0,4.0,4.0,63612.0,24.0,0.0,0.0
121292.0,36.0,33.0,3.0,0.0,0.0,3636.0,2.0,0.0,0.0
75242.0,30.0,29.0,1.0,0.0,0.0,4527.0,4.0,0.0,0.0
1220186.0,280.0,254.0,19.0,7.0,4.0,80859.0,24.0,0.0,0.0
17028.0,7.0,6.0,1.0,0.0,0.0,0,0,0,0
108858.0,14.0,11.0,1.0,2.0,2.0,9622.0,3.0,0.0,0.0
3030002.0,1057.0,992.0,54.0,11.0,4.0,229091.0,81.0,0.0,0.0
12989.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2170011.0,234.0,154.0,51.0,29.0,14.0,189110.0,64.0,0.0,0.0
97624.0,22.0,20.0,2.0,0.0,0.0,11727.0,3.0,0.0,0.0
12250.0,3.0,3.0,0.0,0.0,0.0,0,0,0,0
39146.0,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
853273.0,156.0,130.0,15.0,11.0,8.0,223411.0,44.0,0.0,0.0
60127.0,30.0,29.0,1.0,0.0,0.0,1602.0,1.0,0.0,0.0
117122.0,22.0,18.0,4.0,0.0,0.0,4024.0,2.0,0.0,0.0
384963.0,67.0,54.0,10.0,3.0,2.0,61950.0,12.0,0.0,0.0
164212.0,42.0,37.0,5.0,0.0,0.0,3803.0,3.0,0.0,0.0
25286.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
357648.0,52.0,40.0,9.0,3.0,1.0,14298.0,6.0,0.0,0.0
18274.0,9.0,8.0,1.0,0.0,0.0,0,0,0,0
36685.0,9.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
160976.0,34.0,28.0,5.0,1.0,1.0,11297.0,1.0,0.0,0.0
547999.0,79.0,61.0,12.0,6.0,3.0,1200.0,2.0,0.0,0.0
49689.0,12.0,11.0,1.0,0.0,0.0,2533.0,1.0,0.0,0.0
224012.0,75.0,69.0,6.0,0.0,0.0,40860.0,12.0,0.0,0.0
148792.0,35.0,31.0,4.0,0.0,0.0,920.0,1.0,0.0,0.0
71571.0,48.0,47.0,1.0,0.0,0.0,3478.0,2.0,0.0,0.0
169794.0,26.0,21.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0
224954.0,72.0,67.0,5.0,0.0,0.0,267.0,1.0,0.0,0.0
2539285.0,425.0,337.0,71.0,17.0,11.0,944563.0,311.0,0.0,0.0
232795.0,70.0,64.0,5.0,1.0,0.0,1252.0,1.0,0.0,0.0
11705.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
171958.0,71.0,68.0,3.0,0.0,0.0,7261.0,6.0,0.0,0.0
169484.0,74.0,70.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
818231.0,298.0,285.0,9.0,4.0,3.0,13906.0,8.0,0.0,0.0
74209.0,17.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
19930.0,6.0,5.0,1.0,0.0,0.0,9118.0,4.0,0.0,0.0
381737.0,152.0,146.0,6.0,0.0,0.0,32219.0,12.0,0.0,0.0
54085.0,23.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
73445.0,15.0,12.0,3.0,0.0,0.0,530.0,1.0,0.0,0.0
61202.0,24.0,23.0,1.0,0.0,0.0,19529.0,5.0,0.0,0.0
173763.0,30.0,27.0,1.0,2.0,1.0,23815.0,6.0,0.0,0.0
426813.0,74.0,60.0,12.0,2.0,0.0,8190.0,9.0,0.0,0.0
1047108.0,186.0,147.0,34.0,5.0,2.0,57423.0,22.0,0.0,0.0
512748.0,59.0,43.0,8.0,8.0,5.0,57383.0,12.0,0.0,0.0
303581.0,33.0,22.0,8.0,3.0,1.0,8199.0,2.0,0.0,0.0
350016.0,62.0,48.0,12.0,2.0,1.0,26983.0,8.0,0.0,0.0
965465.0,120.0,82.0,30.0,8.0,1.0,238273.0,52.0,0.0,0.0
259802.0,70.0,65.0,3.0,2.0,2.0,8788.0,9.0,0.0,0.0
165044.0,57.0,55.0,2.0,0.0,0.0,8830.0,5.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1430943.0,279.0,241.0,36.0,2.0,2.0,420868.0,92.0,1.0,0.0
337935.0,81.0,75.0,2.0,4.0,2.0,39386.0,16.0,0.0,0.0
52152.0,11.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
180214.0,37.0,31.0,6.0,0.0,0.0,9611.0,2.0,0.0,0.0
